word,uzbek,rus,example,audio_url,image_url
camp,lager,лагерь,You're going to walk 10 km from the main camp.,,
bakery,nonvoyxona,�������,There�s an amazing bakery in my street.,,
have lunch,abed qilmoq,,i have lunch at 12:30,,https://images.pexels.com/photos/9750735/pexels-photo-9750735.jpeg?auto=compress&cs=tinysrgb&h=350
poor,kambag‘al,бедный,It’s very poor value.,,
shop,do'kon,,The shops often open at around seven o'clock,https://ssl.gstatic.com/dictionary/static/sounds/oxford/shop--_gb_1.mp3,https://images.pexels.com/photos/2199190/pexels-photo-2199190.jpeg?auto=compress&cs=tinysrgb&h=350
cooker,gaz plitasi,плита,In the kitchen there’s a cooker.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/cooker--_gb_1.mp3,https://images.pexels.com/photos/4057739/pexels-photo-4057739.jpeg?auto=compress&cs=tinysrgb&h=350
look after,g‘amxo‘rlik qilmoq,присматривать,Look after a neighbour’s pet.,,https://images.pexels.com/photos/10304741/pexels-photo-10304741.jpeg?auto=compress&cs=tinysrgb&h=350
prepare,tayyorlamoq,готовить,People spend 27 minutes a day preparing meals.,,
cupboard,shkaf / javon,����,There are towels in the cupboard.,,
delicious,mazali,вкусный,"That looks delicious, but what is it?",,
swimming pool,suzish havzasi,бассейн,There’s an underground swimming pool.,,
west,g‘arb,запад,We’re going to the countryside in the west.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/west--_gb_1.mp3,https://images.pexels.com/photos/220755/pexels-photo-220755.jpeg?auto=compress&cs=tinysrgb&h=350
train,poyezd,поезд,Sometimes I get up late and I miss my train.,,
check-in,ro�yxatdan o�tish,�����������,Check-in is after 2 p.m.,,
dining room,ovqatlanish xonasi,��������,"The flat has a small bathroom, a kitchen and a dining room.",,
seat belt,xavfsizlik kamar,ремень безопасности,You don’t have to wear a seat belt on a plane.,,
slowly,sekinca,медленно,The train is moving very slowly.,,
trainers,krosovka,,,,https://images.pexels.com/photos/1670770/pexels-photo-1670770.jpeg?auto=compress&cs=tinysrgb&h=350
go,bormoq,,I go to work at about eight o'clock,https://ssl.gstatic.com/dictionary/static/sounds/oxford/go--_gb_1.mp3,https://images.pexels.com/photos/1666670/pexels-photo-1666670.jpeg?auto=compress&cs=tinysrgb&h=350
secret,sir,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/secret--_gb_1.mp3,https://t4.ftcdn.net/jpg/01/01/04/97/360_F_101049774_sEoWobtUla8ygcWQdczPHm1sToF4YDqG.jpg
drove,haydadi,водил,Paul drove them home.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/drove--_gb_1.mp3,https://images.pexels.com/photos/32464613/pexels-photo-32464613.jpeg?auto=compress&cs=tinysrgb&h=350
living room,yashash xonasi,гостиная,"In my flat, there is a living room.",,
quarter past ,15 minut o'tdi,,It's quarter past ten,,https://images.pexels.com/photos/34745838/pexels-photo-34745838.jpeg?auto=compress&cs=tinysrgb&h=350
tour,ekskursiya,тур,These are the instructions for tomorrow’s tour.,,
colleague,hamkasb,,He really enjoys bhis job because his colleagues are really nice,https://ssl.gstatic.com/dictionary/static/sounds/oxford/colleague--_gb_1.mp3,https://images.pexels.com/photos/3184291/pexels-photo-3184291.jpeg?auto=compress&cs=tinysrgb&h=350
focus on,e'tibor qaratmoq,сосредоточиться,Perhaps it’s time to stop focusing only on the individual.,,https://images.pexels.com/photos/8762846/pexels-photo-8762846.jpeg?auto=compress&cs=tinysrgb&h=350
sleeper,uyqusi yengil odam,легко просыпающийся,He's a light sleeper.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/sleeper--_gb_1.mp3,https://images.pexels.com/photos/4980309/pexels-photo-4980309.jpeg?auto=compress&cs=tinysrgb&h=350
kitchen,oshxona,кухня,There’s a small kitchen in my flat.,,
quietly,tinchlik bilan,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/quietly--_gb_1.mp3,https://images.pexels.com/photos/11015485/pexels-photo-11015485.jpeg?auto=compress&cs=tinysrgb&h=350
love story,sevgi hikoyasi,история любви,"It’s a drama, but also a love story.",,https://images.pexels.com/photos/1767434/pexels-photo-1767434.jpeg?auto=compress&cs=tinysrgb&h=350
