word,uzbek,rus,example,audio_url,image_url
autistic,autistik,аутичный,Stephen Wiltshire is autistic.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/autistic--_gb_1.mp3,https://images.pexels.com/photos/8653950/pexels-photo-8653950.jpeg?auto=compress&cs=tinysrgb&h=350
palace,saroy,дворец,It’s next to the palace.,,
lose,yo‘qotmoq,терять/проигрывать,I go swimming to lose weight.,,
science fiction film,fantastik film,научная фантастика,Avatar is a science fiction film.,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056323596-lauren.mp3,https://images.pexels.com/photos/13332851/pexels-photo-13332851.jpeg?auto=compress&cs=tinysrgb&h=350
helmet,dubulg'a,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/helmet--_gb_1.mp3,https://cdn11.bigcommerce.com/s-zz80yf09m/images/stencil/1280x1280/products/28074/110201/1d02-6328ab46c61d8__76137.1729060626.png?c=1
rise,ko'tarilmoq,,The sun rises at around five o'clock,https://ssl.gstatic.com/dictionary/static/sounds/oxford/rise--_gb_1.mp3,https://images.pexels.com/photos/7567536/pexels-photo-7567536.jpeg?auto=compress&cs=tinysrgb&h=350
fantastic,ajoyib,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/fantastic--_gb_1.mp3,https://media.istockphoto.com/id/915255348/de/vektor/wow-suite.jpg?s=612x612&w=0&k=20&c=THWkPhUDvkcv_L4h_yZoKEmSSd7_df0WjFpHlpa-zWg=
fridge,muzlatgich,�����������,There�s a small kitchen with a fridge and microwave.,,
taxi,taksi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/taxi--_gb_1.mp3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/22/98/f9/havana-airport-taxi.jpg?w=800&h=500&s=1
vending machine,pul tashlab mahsulot beradigan apparat,,,,https://images.pexels.com/photos/899786/pexels-photo-899786.jpeg?auto=compress&cs=tinysrgb&h=350
child,bola,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/child--_gb_1.mp3,https://www.humanium.org/en/wp-content/uploads/2025/05/shutterstock_2267902633-scaled.jpg
meeting,uchrashuv,,I'd like to talk to you before the meeting gets started,https://ssl.gstatic.com/dictionary/static/sounds/oxford/meeting--_gb_1.mp3,https://images.pexels.com/photos/416320/pexels-photo-416320.jpeg?auto=compress&cs=tinysrgb&h=350
mine,meniki,мой,A lot of the people work in the opal mines.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/mine--_gb_1.mp3,https://images.pexels.com/photos/955662/pexels-photo-955662.jpeg?auto=compress&cs=tinysrgb&h=350
spend,sarflamoq,тратить,I spend a lot of money at the weekends.,,
book (v.),band qilmoq / bron qilmoq,�����������,It looks great. Let�s book it.,,
washing machine,kir yuvish mashinasi,стиральная машина,There isn’t a washing machine.,,
jewellery,taqinchoq,,,,https://images.pexels.com/photos/6567673/pexels-photo-6567673.jpeg?auto=compress&cs=tinysrgb&h=350
tradition,an’ana,традиция,I don’t know why they do it; it’s just a tradition.,,
sink,rakovina,раковина,"In the kitchen, there’s a sink.",https://ssl.gstatic.com/dictionary/static/sounds/oxford/sink--_gb_1.mp3,https://images.pexels.com/photos/709749/pexels-photo-709749.jpeg?auto=compress&cs=tinysrgb&h=350
resident,aholi,житель,What are the residents like in your neighbourhood?,https://ssl.gstatic.com/dictionary/static/sounds/oxford/resident--_gb_1.mp3,https://images.pexels.com/photos/6517182/pexels-photo-6517182.jpeg?auto=compress&cs=tinysrgb&h=350
salad,salat,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/salad--_gb_1.mp3,https://images.immediate.co.uk/production/volatile/sites/30/2014/05/Epic-summer-salad-hub-2646e6e.jpg
salary,maosh,,His salary is really good,https://ssl.gstatic.com/dictionary/static/sounds/oxford/salary--_gb_1.mp3,https://images.pexels.com/photos/4386433/pexels-photo-4386433.jpeg?auto=compress&cs=tinysrgb&h=350
culture,madaniyat,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/culture--_gb_1.mp3,https://www.unesco.org/sites/default/files/styles/paragraph_medium_desktop/public/2024-03/shutterstock_1461985163.jpg?itok=yRr2r1Ft
hold,ushlamoq,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/hold--_gb_1.mp3,https://cdn.langeek.co/photo/14855/original/hold?type=jpeg
body clock,biologik soat,,"there's no perfect time to sleep, because everyone's body clock is different",,https://images.pexels.com/photos/12534201/pexels-photo-12534201.jpeg?auto=compress&cs=tinysrgb&h=350
neighbour,qoâshni,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/neighbour--_gb_1.mp3,https://t3.ftcdn.net/jpg/06/49/06/82/360_F_649068228_ZcK0b1ZvG0Duhkw8ZuRfQxwyH5Tr3dt4.jpg
opal,opal toshi,опал,There are opals under the ground.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/opal--_gb_1.mp3,https://images.pexels.com/photos/7232914/pexels-photo-7232914.jpeg?auto=compress&cs=tinysrgb&h=350
physics,fizika,,we study physics,https://ssl.gstatic.com/dictionary/static/sounds/oxford/physics--_gb_1.mp3,https://images.pexels.com/photos/197293/pexels-photo-197293.jpeg?auto=compress&cs=tinysrgb&h=350
lazy,dangasa,ленивый,They are very lazy.,,
amazing,ajoyib,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/amazing--_gb_1.mp3,https://thumbs.dreamstime.com/b/bold-comic-style-explosion-word-amazing-vibrant-image-features-dynamic-book-graphic-prominently-displaying-356560071.jpg
