word,uzbek,rus,example,audio_url,image_url
deep,chuqur,глубокий,Lake Baikal is more than 600 metres deep.,,
bake,pishirmoq,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/bake--_gb_1.mp3,https://nationaltoday.com/wp-content/uploads/2020/12/Bake-Cookies-Day-1.jpg
palace,saroy,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/palace--_gb_1.mp3,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Winter_Palace_Panorama_3.jpg/250px-Winter_Palace_Panorama_3.jpg
give,bermoq,������,Please give me the code.,,
daughter,qiz farzand,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/daughter--_gb_1.mp3,https://msgwords.com/wp-content/uploads/2024/08/Beautiful-Messges-for-My-Daughter.jpg
retired,nafaqachi,,My grandpa is retired,https://ssl.gstatic.com/dictionary/static/sounds/oxford/retired--_gb_1.mp3,https://images.pexels.com/photos/3831645/pexels-photo-3831645.jpeg?auto=compress&cs=tinysrgb&h=350
campsite,lager joyi,кемпинг,There are four or five hotels and there’s also a campsite.,,
deaf,kar,глухой,"She is deaf, but this hasn’t stopped her dream.",https://ssl.gstatic.com/dictionary/static/sounds/oxford/deaf--_gb_1.mp3,https://images.pexels.com/photos/9017018/pexels-photo-9017018.jpeg?auto=compress&cs=tinysrgb&h=350
local,mahalliy,местный,He played for his local team.,,
break,tanaffus,,she always stops working for a break,https://ssl.gstatic.com/dictionary/static/sounds/oxford/break--_gb_1.mp3,https://images.pexels.com/photos/3790848/pexels-photo-3790848.jpeg?auto=compress&cs=tinysrgb&h=350
pasta,makaron,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/pasta--_gb_1.mp3,https://assets.tmecosys.com/image/upload/t_web_rdp_recipe_584x480_1_5x/img/recipe/ras/Assets/658A0A74-039A-487C-A07A-CAAF61B4615D/Derivates/A230DF28-60DF-429D-ABDA-96ED64E9EE10.jpg
clean,toza / tozalamoq,������ / �������,The rooms in the hotel are clean.,,
rooftop,tom qismi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/rooftop--_gb_1.mp3,https://arlohotels.com/wynwood/wp-content/uploads/sites/6/2022/11/202210_Wynwood_Lifestyle_Rooftop.jpg
car park,avtoturargoh,��������,Is there a hotel car park?,,
organize,tashkil qilmoq,организовать,Organize a sports event.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/organize--_gb_1.mp3,https://images.pexels.com/photos/670723/pexels-photo-670723.jpeg?auto=compress&cs=tinysrgb&h=350
pay,to'lamoq,,Do you pay for tea and coffee at work?,https://ssl.gstatic.com/dictionary/static/sounds/oxford/pay--_gb_1.mp3,https://images.pexels.com/photos/4199524/pexels-photo-4199524.jpeg?auto=compress&cs=tinysrgb&h=350
theatre,teatr,театр,Is there a theatre in Coober Pedy?,,
table,stol,стол,There’s a table next to the armchair.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/table--_gb_1.mp3,https://images.pexels.com/photos/279626/pexels-photo-279626.jpeg?auto=compress&cs=tinysrgb&h=350
bus driver,avtobus haydovchisi,,he's a bus driver,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056159585-lauren.mp3,https://images.pexels.com/photos/16759143/pexels-photo-16759143.jpeg?auto=compress&cs=tinysrgb&h=350
cousin,amakivachcha,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/cousin--_gb_1.mp3,https://www.wendyg.com/wp-content/uploads/2023/04/cousin-portraits-08-1024x736.jpg
booking form,bron shakli,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/booking form--_gb_1.mp3,https://d1csarkz8obe9u.cloudfront.net/posterpreviews/client-booking-form-template-design-68e6ab06f5ec37a29648753a40757aa4_screen.jpg?ts=1698649228
a bit,biroz,немного,"As you get closer, you notice something a bit unusual.",,
nationality,millat,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/nationality--_gb_1.mp3,https://www.shutterstock.com/shutterstock/photos/102560531/display_1500/stock-vector-nationalities-nationality-people-102560531.jpg
Urdu,Urdu tili,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/urdu--_gb_1.mp3,https://upload.wikimedia.org/wikipedia/commons/0/01/Urdu_example.svg
clearly,aniq qilib,ясно,I can’t read that sign clearly.,,
have a reservation,bron qilgan bo�lish,����� �����,I have a reservation. The name is Davis.,,
slowly,sekinlik bilan,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/slowly--_gb_1.mp3,https://images.pexels.com/photos/698210/pexels-photo-698210.jpeg?auto=compress&cs=tinysrgb&h=350
married,turmush qurgan,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/married--_gb_1.mp3,https://www.focusonthefamily.com/wp-content/uploads/2024/01/get-married-shutterstock-589431530-65b82ea6e69f6.webp
torch,fonar,фонарик,I’m going to take a torch to see in the dark.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/torch--_gb_1.mp3,https://images.pexels.com/photos/2397414/pexels-photo-2397414.jpeg?auto=compress&cs=tinysrgb&h=350
rainy,yomg‘irli,дождливый,The shop sold clothes.,,
