word,uzbek,rus,example,audio_url,image_url
dry,quruq,сухой,It's dry this morning.,,
company ,kampaniya,,He works for a big company,https://ssl.gstatic.com/dictionary/static/sounds/oxford/company--_gb_1.mp3,https://images.pexels.com/photos/269077/pexels-photo-269077.jpeg?auto=compress&cs=tinysrgb&h=350
factory,zavod,,My father works in a factory,https://ssl.gstatic.com/dictionary/static/sounds/oxford/factory--_gb_1.mp3,https://images.pexels.com/photos/257700/pexels-photo-257700.jpeg?auto=compress&cs=tinysrgb&h=350
market,bozor,рынок,It’s behind the market.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/market--_gb_1.mp3,https://images.pexels.com/photos/95425/pexels-photo-95425.jpeg?auto=compress&cs=tinysrgb&h=350
grew,o‘sdi (grow),рос,"The tree grew too big, so we had to cut it down.",https://ssl.gstatic.com/dictionary/static/sounds/oxford/grew--_gb_1.mp3,https://images.pexels.com/photos/1061623/pexels-photo-1061623.jpeg?auto=compress&cs=tinysrgb&h=350
unhealthy,nosog‘lom,нездоровый,That’s an unhealthy meal.,,
airport,aeroport,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/airport--_gb_1.mp3,https://assets.skiesmag.com/wp-content/uploads/2024/03/yvr_airport_aug_4_2020.jpg
bobsleigh,bobsley,бобслей,People were surprised to see a bobsleigh team from Jamaica.,,
gone,ketgan,ушел,"She’s already gone, I’m afraid.",https://ssl.gstatic.com/dictionary/static/sounds/oxford/gone--_gb_1.mp3,https://images.pexels.com/photos/5626595/pexels-photo-5626595.jpeg?auto=compress&cs=tinysrgb&h=350
socks,paypoq,носки,He is wearing socks.,,
scarf,sharf,шарф,Take a hat or scarf.,,
post office,pochta,почта,Where’s the post office?,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056261349-lauren.mp3,https://images.pexels.com/photos/281962/pexels-photo-281962.jpeg?auto=compress&cs=tinysrgb&h=350
bus,avtobus,автобус,I get the bus to work.,,
area,hudud,����� / �������,There�s one dining area for all the students in the flat.,,
tip,choychaqa,чаевые,You don’t have to leave a tip in restaurants.,,
survey,so‘rovnoma,опрос,"According to a survey, many don’t know how long it takes to boil an egg!",,
cycle,velosiped minmoq,ездить на велосипеде,I usually cycle to work.,,
facilities,imkoniyatlar / qulayliklar,��������,Mt. Angel doesn�t have a lot of facilities.,,
move,ko‘chmoq,двигаться/переезжать,When was the last time you moved house?,,
balcony,balkon,������,Has each room got a balcony?,,
vegetable,sabzavot,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/vegetable--_gb_1.mp3,https://cdn.britannica.com/17/196817-050-6A15DAC3/vegetables.jpg?w=400&h=300&c=crop
study,o‘qimoq,учиться,He studied for his exams yesterday.,,
common,odatdagi,обычный,"In the past, it was common for scientists to work alone.",https://ssl.gstatic.com/dictionary/static/sounds/oxford/common--_gb_1.mp3,https://images.pexels.com/photos/3489128/pexels-photo-3489128.jpeg?auto=compress&cs=tinysrgb&h=350
jacket,kurtka,куртка,I am wearing a jacket.,,
go clubbing,klubga bormoq,,we sometimes go clubbing at night,,https://images.pexels.com/photos/1840320/pexels-photo-1840320.jpeg?auto=compress&cs=tinysrgb&h=350
town centre,shahar markazi,центр города,There are nice restaurants in the town centre.,,
big,katta,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/big--_gb_1.mp3,https://laut.de/Notorious-B.I.G./notorious-big-167446.jpg
carpet,gilam,ковер,There’s a red carpet on the floor.,,
snowy,qorli,снежный,It’s cold and snowy here this morning.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/snowy--_gb_1.mp3,https://images.pexels.com/photos/688660/pexels-photo-688660.jpeg?auto=compress&cs=tinysrgb&h=350
under,"ostida, tagida",,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/under--_gb_1.mp3,https://cdn.langeek.co/photo/17401/original/under?type=jpeg
