word,uzbek,rus,example,audio_url,image_url
pilot,uchuvchi,,My brother flies planes. He's a pilot,https://ssl.gstatic.com/dictionary/static/sounds/oxford/pilot--_gb_1.mp3,https://images.pexels.com/photos/685311/pexels-photo-685311.jpeg?auto=compress&cs=tinysrgb&h=350
air-conditioned,konditsionerli,с кондиционером,Air-conditioned taxis are a comfortable way to travel.,,
town centre,shahar markazi,центр города,There are some nice restaurants in the town centre.,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056254682-lauren.mp3,https://images.pexels.com/photos/16483660/pexels-photo-16483660.jpeg?auto=compress&cs=tinysrgb&h=350
elderly,qariyalar,пожилой,Visit an elderly neighbour.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/elderly--_gb_1.mp3,https://images.pexels.com/photos/302083/pexels-photo-302083.jpeg?auto=compress&cs=tinysrgb&h=350
bread,non,,Not many people bake their own bread these days.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/bread--_gb_1.mp3,https://images.pexels.com/photos/16125451/pexels-photo-16125451.jpeg?auto=compress&cs=tinysrgb&h=350
free ,bo'sh vaqt,,he hardly ever has free time because he works hard,https://ssl.gstatic.com/dictionary/static/sounds/oxford/free--_gb_1.mp3,https://images.pexels.com/photos/1387037/pexels-photo-1387037.jpeg?auto=compress&cs=tinysrgb&h=350
surprise,syurpriz,сюрприз,It was the surprise success of 2012.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/surprise--_gb_1.mp3,https://images.pexels.com/photos/764340/pexels-photo-764340.jpeg?auto=compress&cs=tinysrgb&h=350
get,olmoq,получать,How often do you get a taxi to go somewhere?,,
expensive,qimmat,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/expensive--_gb_1.mp3,https://cdn.langeek.co/photo/28329/original/expensive?type=jpeg
strong,kuchli,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/strong--_gb_1.mp3,https://images.pexels.com/photos/2080544/pexels-photo-2080544.jpeg?auto=compress&cs=tinysrgb&h=350
text message,matnli xabar,текстовое сообщение,How many text messages do you get?,,
sales,sotuvlar,распродажи,I stand outside and wait for the shops to open on the first day of the sales.,,
coast,sohil,побережье,There are some beautiful beaches near the west coast.,,
bedroom,yotoqxona,спальня,"In my house, there are three bedrooms.",https://ssl.gstatic.com/dictionary/static/sounds/oxford/bedroom--_gb_1.mp3,https://images.pexels.com/photos/1454806/pexels-photo-1454806.jpeg?auto=compress&cs=tinysrgb&h=350
bike,velosiped,велосипед,I go to work by bike. It’s great exercise.,,
carefully,ehtiyotkorlik bilan,осторожно,I try to spend my money carefully.,,
team,jamoa,команда,"These days, scientists usually work in teams.",https://ssl.gstatic.com/dictionary/static/sounds/oxford/team--_gb_1.mp3,https://images.pexels.com/photos/1000445/pexels-photo-1000445.jpeg?auto=compress&cs=tinysrgb&h=350
between,o‘rtasida,между,My flat’s on the fourth floor between two streets.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/between--_gb_1.mp3,https://images.pexels.com/photos/4118297/pexels-photo-4118297.jpeg?auto=compress&cs=tinysrgb&h=350
excellent,ajoyib,отличный,"Yes, she’s really excellent! She always wins.",https://ssl.gstatic.com/dictionary/static/sounds/oxford/excellent--_gb_1.mp3,https://images.pexels.com/photos/7214484/pexels-photo-7214484.jpeg?auto=compress&cs=tinysrgb&h=350
booking form,buyurtma shakli,форма бронирования,Bring the booking form with you.,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056315352-lauren.mp3,https://images.pexels.com/photos/8947494/pexels-photo-8947494.jpeg?auto=compress&cs=tinysrgb&h=350
experience,tajriba,опыт,This is a new experience for me.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/experience--_gb_1.mp3,https://images.pexels.com/photos/1272392/pexels-photo-1272392.jpeg?auto=compress&cs=tinysrgb&h=350
flat,kvartira,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/flat--_gb_1.mp3,https://assets-news.housing.com/news/wp-content/uploads/2022/03/28143140/Difference-between-flat-and-apartment-686x400.jpg
caf?,kafe,����,There�s a caf? near the hotel.,,
passport,pasport,паспорт,You usually need your passport to travel.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/passport--_gb_1.mp3,https://images.pexels.com/photos/346798/pexels-photo-346798.jpeg?auto=compress&cs=tinysrgb&h=350
old-fashioned,eskicha,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/old-fashioned--_gb_1.mp3,https://c8.alamy.com/comp/E9Y9XN/oil-lamp-old-objects-E9Y9XN.jpg
art gallery,san'at galereyasi,картинная галерея,I enjoy visiting all the art galleries and museums.,,
building,bino,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/building--_gb_1.mp3,https://images.adsttc.com/media/images/6636/c29f/c734/945c/42c2/96ed/large_jpg/architecture-as-a-product-what-makes-a-building-worth-repeating_1.jpg?1714864858
railway,temir yo'l,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/railway--_gb_1.mp3,https://www.railway-technology.com/wp-content/uploads/sites/13/2020/10/Feature-Image-Top-ten-rail-operators-in-2020.jpg
walk,yurmoq,ходить,Walk to work.,,
free parking,bepul avtoturargoh,���������� ��������,"The hotel has free parking, Wi-Fi and a gym.",,
