word,uzbek,rus,example,audio_url,image_url
relax,dam olmoq,расслабляться,Leila and Mike are relaxing at home.,,
theatre,teatr,театр,Is there a theatre in Coober Pedy?,https://ssl.gstatic.com/dictionary/static/sounds/oxford/theatre--_gb_1.mp3,https://images.pexels.com/photos/109669/pexels-photo-109669.jpeg?auto=compress&cs=tinysrgb&h=350
modern art,zamonaviy san’at,современное искусство,Modern art is really boring.,,
animation,animatsiya,анимация,Shrek and Finding Nemo are two of my favourite animations.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/animation--_gb_1.mp3,https://images.pexels.com/photos/45201/kitty-cat-kitten-pet-45201.jpeg?auto=compress&cs=tinysrgb&h=350
above,ustida,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/above--_gb_1.mp3,https://images.pexels.com/photos/1439087/pexels-photo-1439087.jpeg
clean,toza,чистый,I like to keep them very clean.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/clean--_gb_1.mp3,https://images.pexels.com/photos/271711/pexels-photo-271711.jpeg?auto=compress&cs=tinysrgb&h=350
low,past,низкий,Which jobs usually have the lowest salaries?,https://ssl.gstatic.com/dictionary/static/sounds/oxford/low--_gb_1.mp3,https://images.pexels.com/photos/373489/pexels-photo-373489.jpeg?auto=compress&cs=tinysrgb&h=350
marathon,marafon,марафон,He ran the Toronto marathon.,,
shine,yaltiramoq,светить,The sun is going to shine all afternoon.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/shine--_gb_1.mp3,https://images.pexels.com/photos/255379/pexels-photo-255379.jpeg?auto=compress&cs=tinysrgb&h=350
survive,tirik qolmoq,выживать,You need to survive for three days and two nights.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/survive--_gb_1.mp3,https://images.pexels.com/photos/207324/pexels-photo-207324.jpeg?auto=compress&cs=tinysrgb&h=350
mushroom,qoâziqorin,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/mushroom--_gb_1.mp3,https://cdn.britannica.com/90/236590-050-27422B8D/Close-up-of-mushroom-growing-on-field.jpg
tent,chodir,палатка,You can take a tent and a sleeping bag.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/tent--_gb_1.mp3,https://images.pexels.com/photos/45241/tent-camp-night-star-45241.jpeg?auto=compress&cs=tinysrgb&h=350
boil,qaynatmoq,кипятить,I always boil my vegetables.,,
lazy,dangasa,ленивый,They are very lazy.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/lazy--_gb_1.mp3,https://images.pexels.com/photos/267684/pexels-photo-267684.jpeg?auto=compress&cs=tinysrgb&h=350
hairdresser’s,sartaroshxona,парикмахерская,"There is a swimming pool, a hairdresser’s and ninety-five bedrooms.",,
library,kutubxona,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/library--_gb_1.mp3,https://www.datocms-assets.com/44232/1632764400-gn9104560d0.jpg
book (v.),band qilmoq / bron qilmoq,�����������,It looks great. Let�s book it.,,
brother-in-law,qayni aka,,,https://impulselc.uz/api/v1/tts?lang=en-au&text=brother-in-law,https://cdn.shopify.com/s/files/1/0856/0240/2611/files/I-Love-My-Brother-In-Law-Quotes.jpg?v=1713945602
basketball,basketbol,баскетбол,I play basketball with my friends.,,
underground,yer osti,подземный,Are there any underground buildings?,https://ssl.gstatic.com/dictionary/static/sounds/oxford/underground--_gb_1.mp3,https://images.pexels.com/photos/169978/pexels-photo-169978.jpeg?auto=compress&cs=tinysrgb&h=350
yoghurt,yogurt,йогурт,I have yoghurt for breakfast.,,
dentist,tish shifokori,,dentist cleans and fixes people's teeth,https://ssl.gstatic.com/dictionary/static/sounds/oxford/dentist--_gb_1.mp3,https://images.pexels.com/photos/6812561/pexels-photo-6812561.jpeg?auto=compress&cs=tinysrgb&h=350
messy,tartibsiz,грязный/неопрятный,I’m a messy worker.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/messy--_gb_1.mp3,https://images.pexels.com/photos/2074120/pexels-photo-2074120.jpeg?auto=compress&cs=tinysrgb&h=350
housemate,uy sherigi,сосед по дому,My housemates are very messy.,,
reduce,kamaytirmoq,уменьшать,He also tried to reduce the size of sweet drinks.,,
Hungarian,vengr,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/hungarian--_gb_1.mp3,https://www.hungarianconservative.com/wp-content/uploads/2023/06/csango_women_hungarian_language_holy_mass_2019-scaled.jpg
great,ajoyib,отличный,It’s great value.,,
stepfather,oâgay ota,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/stepfather--_gb_1.mp3,https://www.shareicon.net/data/512x512/2016/04/10/747710_love_512x512.png
author,muallif,,his brother's an author,https://ssl.gstatic.com/dictionary/static/sounds/oxford/author--_gb_1.mp3,https://images.pexels.com/photos/3772623/pexels-photo-3772623.jpeg?auto=compress&cs=tinysrgb&h=350
festival,festival,���������,Mt. Angel has a famous festival.,,
