word,uzbek,rus,example,audio_url,image_url
each,har bir,������,Has each flat got a kitchen?,,
value,qadr-qimmat,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/value--_gb_1.mp3,https://images.pexels.com/photos/34522441/pexels-photo-34522441.jpeg?auto=compress&cs=tinysrgb&h=350
prepare,tayyorlamoq,готовить,When was the last time you prepared a meal?,,
mix,aralashtirmoq,смешивать,Mix all the ingredients together.,,
lazy,dangasa,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/lazy--_gb_1.mp3,https://thriveworks.com/wp-content/uploads/2023/07/AdobeStock_596516591.jpg
temperature,harorat,температура,By the afternoon it’s going to be warm and sunny.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/temperature--_gb_1.mp3,https://images.pexels.com/photos/190048/pexels-photo-190048.jpeg?auto=compress&cs=tinysrgb&h=350
music festival,musiqa festivali,музыкальный фестиваль,I usually go to two or three music festivals.,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056341809-lauren.mp3,https://images.pexels.com/photos/1105666/pexels-photo-1105666.jpeg?auto=compress&cs=tinysrgb&h=350
rainforest,tropik o‘rmon,тропический лес,The ruins are in the middle of a rainforest.,,
knife,pichoq,нож,You need a knife to chop the onions.,,
bank,bank,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/bank--_gb_1.mp3,https://as2.ftcdn.net/jpg/00/61/06/27/1000_F_61062796_NF87GPnWV0fQ2LhoYNlyjev0PocRwZj9.jpg
instructions,ko'rsatmalar,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/instructions--_gb_1.mp3,https://ichef.bbci.co.uk/images/ic/1200xn/p06p0ph8.jpg
facilities,imkoniyatlar / qulayliklar,��������,Mt. Angel doesn�t have a lot of facilities.,,
rent,ijaraga olmoq,арендовать,I normally rent an apartment by the sea.,,
ugly,xunuk,некрасивый,It’s an ugly building.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/ugly--_gb_1.mp3,https://images.pexels.com/photos/31825832/pexels-photo-31825832.jpeg?auto=compress&cs=tinysrgb&h=350
bookshop,kitob do‘koni,книжный магазин,There’s a bookshop opposite my flat.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/bookshop--_gb_1.mp3,https://images.pexels.com/photos/3646105/pexels-photo-3646105.jpeg?auto=compress&cs=tinysrgb&h=350
window,deraza,окно,There’s a table under the window.,,
text message,sms xabar,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/text message--_gb_1.mp3,https://www.textmagic.com/wp-content/uploads/2024/05/Service-and-support-sms-use-case.webp
noodles,lapsha,лапша,It comes with some noodles.,,
main course,asosiy taom,основное блюдо,Could I have the grilled chicken for the main course?,,
river,daryo,река,Which river is the longest in the world?,https://ssl.gstatic.com/dictionary/static/sounds/oxford/river--_gb_1.mp3,https://images.pexels.com/photos/788200/pexels-photo-788200.jpeg?auto=compress&cs=tinysrgb&h=350
studio flat,studiya kvartira,студия,I live in a studio flat.,,
heard,eshitgan (hear),услышал,I’ve never heard of her.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/heard--_gb_1.mp3,https://images.pexels.com/photos/4613876/pexels-photo-4613876.jpeg?auto=compress&cs=tinysrgb&h=350
poor,kambag'al,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/poor--_gb_1.mp3,https://images.pexels.com/photos/8078549/pexels-photo-8078549.jpeg?auto=compress&cs=tinysrgb&h=350
wrote,yozdi (write),написал,I wrote a lot of emails yesterday.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/wrote--_gb_1.mp3,https://images.pexels.com/photos/753695/pexels-photo-753695.jpeg?auto=compress&cs=tinysrgb&h=350
drunk,mast,пьяный,They’ve drunk all the orange juice.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/drunk--_gb_1.mp3,https://images.pexels.com/photos/3328312/pexels-photo-3328312.jpeg?auto=compress&cs=tinysrgb&h=350
golf course,golf maydoni,���� ��� ������,There�s a golf course near the town.,,
correct,to‘g‘ri,правильный,I got all the answers correct.,,
visit,tashrif buyurmoq,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/visit--_gb_1.mp3,https://cdn.langeek.co/photo/49141/original/?type=jpeg
rent,ijaraga olmoq,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/rent--_gb_1.mp3,"https://etimg.etb2bimg.com/thumb/msid-82086911,width-1200,height-900,resizemode-4/.jpg"
platform,platforma,платформа,Which platform does it leave from?,,
