word,uzbek,rus,example,audio_url,image_url
skirt,yubka,юбка,Anita is wearing a skirt and top.,,
diappointed ,"hafa, tushkun",,,,https://images.pexels.com/photos/3771681/pexels-photo-3771681.jpeg?auto=compress&cs=tinysrgb&h=350
mountain,tog‘,гора,There are more mountains in the north.,,
check-in,ro�yxatdan o�tish,�����������,Check-in is after 2 p.m.,,
awful,dahshatli,ужасный,It’s really awful. I failed my driving test.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/awful--_gb_1.mp3,https://images.pexels.com/photos/1667180/pexels-photo-1667180.jpeg?auto=compress&cs=tinysrgb&h=350
virtual,virtual,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/virtual--_gb_1.mp3,https://images.pexels.com/photos/3761125/pexels-photo-3761125.jpeg?auto=compress&cs=tinysrgb&h=350
housemate,uydoshi,сосед по дому,My housemates are very messy.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/housemate--_gb_1.mp3,https://images.pexels.com/photos/5331200/pexels-photo-5331200.jpeg?auto=compress&cs=tinysrgb&h=350
dining room,ovqatlanish xonasi,столовая,There’s a dining room next to the kitchen.,,
thank,rahmat aytmoq,благодарить,"He thanked Adam and gave him $2,000.",,
windy,shamolli,ветреный,It was really windy.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/windy--_gb_1.mp3,https://images.pexels.com/photos/418682/pexels-photo-418682.jpeg?auto=compress&cs=tinysrgb&h=350
microwave,mikroto‘lqinli pech,микроволновка,The most important thing in my kitchen is the microwave.,,
take,olmoq/olib bormoq,брать,"Take the stairs, not the lift.",,
saucepan,kastrul,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/saucepan--_gb_1.mp3,https://m.media-amazon.com/images/I/61kQA8lnx6L.jpg
busy,band,занятый,The busiest airport of the three is Beijing.,,
bake,pishirmoq,выпекать,Do you bake your own bread?,,
bowl,idish,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/bowl--_gb_1.mp3,https://crockadoodle.com/bentonville/wp-content/uploads/sites/114/2023/11/biggie-bowl.jpg
pear,nok,груша,I’d like a pear.,,
access,kirish,������,Guests have 24-hour access to the hotel.,,
checkout,chiqish vaqti,����� ������,Checkout is before 11 a.m.,,
starter,gazak,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/starter--_gb_1.mp3,https://www.princes.co.uk/wp-content/uploads/sites/14/2024/09/Princes_TunaStuffPotatoSkins_1x1_v01-scaled.jpg.webp
forget,unutmoq,,Don't forget your mission,https://ssl.gstatic.com/dictionary/static/sounds/oxford/forget--_gb_1.mp3,https://images.pexels.com/photos/4238468/pexels-photo-4238468.jpeg?auto=compress&cs=tinysrgb&h=350
online,onlayn,онлайн,I shop online.,,
art gallery,san'at galereyasi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/art gallery--_gb_1.mp3,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/28/54/4f/9f/caption.jpg?w=900&h=500&s=1
freezing,juda sovuq,ледяной,It's freezing here today.,,
return,qaytarmoq,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/return--_gb_1.mp3,https://images.pexels.com/photos/6065141/pexels-photo-6065141.jpeg?auto=compress&cs=tinysrgb&h=350
seen,ko‘rgan (see),видел,I’ve already seen that film.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/seen--_gb_1.mp3,https://images.pexels.com/photos/8147357/pexels-photo-8147357.jpeg?auto=compress&cs=tinysrgb&h=350
heavy ,og'ir,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/heavy--_gb_1.mp3,https://images.pexels.com/photos/949126/pexels-photo-949126.jpeg?auto=compress&cs=tinysrgb&h=350
toilet,hojatxona,туалет,There’s a toilet next to the bedroom.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/toilet--_gb_1.mp3,https://images.pexels.com/photos/7040699/pexels-photo-7040699.jpeg?auto=compress&cs=tinysrgb&h=350
love,sevmoq,любить,They loved it.,,
environment,atrof-muhit,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/environment--_gb_1.mp3,https://alterno.net/wp-content/uploads/2025/02/reasons-to-protect-the-environment.jpg
