word,uzbek,rus,example,audio_url,image_url
trousers,shim,брюки,The trousers are the same colour as the jacket.,,
collection,kollektsiya,коллекция,I’ve had a big music collection.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/collection--_gb_1.mp3,https://images.pexels.com/photos/185764/pexels-photo-185764.jpeg?auto=compress&cs=tinysrgb&h=350
studio flat,studiya xonadon,студия,I live in a studio flat.,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056241688-lauren.mp3,https://images.pexels.com/photos/3754595/pexels-photo-3754595.jpeg?auto=compress&cs=tinysrgb&h=350
return,qaytarmoq,возвращать,He returned the money to his boss.,,
in front of,oldida,перед,It’s on the floor in front of the window.,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056295988-lauren.mp3,https://images.pexels.com/photos/7327133/pexels-photo-7327133.jpeg?auto=compress&cs=tinysrgb&h=350
jungle,o‘rmon,джунгли,The Amazon jungle is the largest rainforest.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/jungle--_gb_1.mp3,https://images.pexels.com/photos/975771/pexels-photo-975771.jpeg?auto=compress&cs=tinysrgb&h=350
railway station,temir yo'l stansiyasi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/railway station--_gb_1.mp3,https://www.shashiprabhu.com/images/projects/commercial/panvel-railway-station/Panvel-Railway-Station-Latest-1.jpg
wet,ho‘l,мокрый,It’s going to be wet this afternoon.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/wet--_gb_1.mp3,https://images.pexels.com/photos/891030/pexels-photo-891030.jpeg?auto=compress&cs=tinysrgb&h=350
cooker,plita,плита,In the kitchen there’s a cooker.,,
saxophone,saksofon,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/saxophone--_gb_1.mp3,https://www.session.de/media/7e/56/20/1662678437/yamaha_-_yamaha_yts-280_tenorsaxophon_-_0.jpg?ts=1741955046
map,xarita,карта,Do you usually take a map or do you get lost?,,
niece,jiyan (qiz),,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/niece--_gb_1.mp3,https://cdn.langeek.co/photo/28139/original/niece?type=jpeg
lesson,dars,урок,I had dance lessons at school.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/lesson--_gb_1.mp3,https://images.pexels.com/photos/4144923/pexels-photo-4144923.jpeg?auto=compress&cs=tinysrgb&h=350
set,joylashgan,расположен,It’s set in the future.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/set--_gb_1.mp3,https://images.pexels.com/photos/383568/pexels-photo-383568.jpeg?auto=compress&cs=tinysrgb&h=350
violent,zo'ravon,жестокий,Some video games aren’t OK for children because they’re very violent.,,
bring,olib kelmoq,приносить,Can you bring me my glasses?,,
Japanese,yapon,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/japanese--_gb_1.mp3,https://cdn.shopify.com/s/files/1/0033/2660/7409/files/Kanzashi.jpg?v=1714436529
coach,murabbiy,тренер,The coach helps them with their game.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/coach--_gb_1.mp3,https://images.pexels.com/photos/264337/pexels-photo-264337.jpeg?auto=compress&cs=tinysrgb&h=350
coat,palto,пальто,She’s wearing a coat.,,
late,kech,,My sister never waits for the people who are late,https://ssl.gstatic.com/dictionary/static/sounds/oxford/late--_gb_1.mp3,https://images.pexels.com/photos/3760810/pexels-photo-3760810.jpeg?auto=compress&cs=tinysrgb&h=350
idea,g'oya,,we sometimes have different ideas,https://ssl.gstatic.com/dictionary/static/sounds/oxford/idea--_gb_1.mp3,https://images.pexels.com/photos/256514/pexels-photo-256514.jpeg?auto=compress&cs=tinysrgb&h=350
community,jamoa,сообщество,Now it’s your turn in your community.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/community--_gb_1.mp3,https://images.pexels.com/photos/1000445/pexels-photo-1000445.jpeg?auto=compress&cs=tinysrgb&h=350
kitchen,oshxona,кухня,There’s a small kitchen in my flat.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/kitchen--_gb_1.mp3,https://images.pexels.com/photos/2062426/pexels-photo-2062426.jpeg?auto=compress&cs=tinysrgb&h=350
rice,guruch,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/rice--_gb_1.mp3,https://cdn.loveandlemons.com/wp-content/uploads/2020/03/how-to-cook-rice-500x375.jpg
for hours,soatlab,������,He can listen to the Beatles for hours.,,
dancer,raqqos,,He's a very good dancer,https://ssl.gstatic.com/dictionary/static/sounds/oxford/dancer--_gb_1.mp3,https://images.pexels.com/photos/209948/pexels-photo-209948.jpeg?auto=compress&cs=tinysrgb&h=350
serious,jiddiy,серьёзный,It can make you look serious and important.,,
crazy,telba,сумасшедший,People do some crazy things!,,
queue,navbat,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/queue--_gb_1.mp3,https://www.visiontron.com/wp-content/uploads/lines-02-1.png
information,ma’lumot,информация,Students couldn’t find information.,,
