word,uzbek,rus,example,audio_url,image_url
beginner,boshlang'ich,,It's difficult for a beginner to understand the term,https://ssl.gstatic.com/dictionary/static/sounds/oxford/beginner--_gb_1.mp3,https://images.pexels.com/photos/7320097/pexels-photo-7320097.jpeg?auto=compress&cs=tinysrgb&h=350
delighted,xursand,в восторге,I was really delighted to get the job.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/delighted--_gb_1.mp3,https://images.pexels.com/photos/4928703/pexels-photo-4928703.jpeg?auto=compress&cs=tinysrgb&h=350
lemonade,limonad,лимонад,Can I have a bottle of lemonade?,,
bathroom,hammom,������ �������,Each bathroom has a shower and a toilet.,,
tie,galstuk,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/tie--_gb_1.mp3,https://images.pexels.com/photos/1342609/pexels-photo-1342609.jpeg?auto=compress&cs=tinysrgb&h=350
tidy,tartibli,аккуратный,Are you a tidy person?,https://ssl.gstatic.com/dictionary/static/sounds/oxford/tidy--_gb_1.mp3,https://images.pexels.com/photos/1125136/pexels-photo-1125136.jpeg?auto=compress&cs=tinysrgb&h=350
jeans,jinsi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/jeans--_gb_1.mp3,https://images.pexels.com/photos/52518/jeans-pants-blue-shop-52518.jpeg?auto=compress&cs=tinysrgb&h=350
favourite,sevimli,любимый,My favourite film is Titanic.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/favourite--_gb_1.mp3,https://images.pexels.com/photos/29095562/pexels-photo-29095562.jpeg?auto=compress&cs=tinysrgb&h=350
weather forecast,ob-havo ma'lumoti,прогноз погоды,Did you hear the weather forecast this morning?,,https://images.pexels.com/photos/34772432/pexels-photo-34772432.jpeg?auto=compress&cs=tinysrgb&h=350
stove,pech,плита,I think we should take one stove instead of three.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/stove--_gb_1.mp3,https://images.pexels.com/photos/213162/pexels-photo-213162.jpeg?auto=compress&cs=tinysrgb&h=350
thunderstorm,momaqaldiroq,гроза,There was a thunderstorm during the 100m final.,,
all,hammasi,���,All the flats have got lovely balconies.,,
noisy,shovqin,,City life is sometimes noisy,https://ssl.gstatic.com/dictionary/static/sounds/oxford/noisy--_gb_1.mp3,https://images.pexels.com/photos/2747448/pexels-photo-2747448.jpeg?auto=compress&cs=tinysrgb&h=350
delicious,mazali,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/delicious--_gb_1.mp3,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Delicious%2C_yummy%2C_lecker%2C_delicioso_from_Openclipart.org.svg/1200px-Delicious%2C_yummy%2C_lecker%2C_delicioso_from_Openclipart.org.svg.png
window,deraza,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/window--_gb_1.mp3,https://www.sheerwaterglass.co.uk/app/uploads/2023/11/anthracite-grey-slimline-window-copy.jpg
meat,go‘sht,мясо,Where do you buy meat?,,
cupboard,shkaf / javon,����,There are towels in the cupboard.,,
paper clip,qog‘oz qisqichi,скрепка,The first group took more paper clips.,,
romantic film,romantik film,,I prefer romantic films.,,https://images.pexels.com/photos/4395196/pexels-photo-4395196.jpeg?auto=compress&cs=tinysrgb&h=350
under,ostida,под,The toilet and shower are under the shelf.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/under--_gb_1.mp3,https://images.pexels.com/photos/4553182/pexels-photo-4553182.jpeg?auto=compress&cs=tinysrgb&h=350
employee,xodim,сотрудник,Indian railways have about a million employees.,,
booking form,bron qilish formasi,форма бронирования,Bring the booking form with you.,,
bookshop,kitob do‘koni,книжный магазин,There’s a bookshop opposite my flat.,,
lend,bermoq,одалживать,Can you lend me £10?,,
Nigerian,nigeriyalik,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/nigerian--_gb_1.mp3,https://media.npr.org/assets/img/2022/10/14/ap22286039015712-6f8a8d05bff6d1eba9aa4c7292fc3327addb190d.jpg?s=1100&c=50&f=jpeg
slow,sekin,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/slow--_gb_1.mp3,https://images.pexels.com/photos/320956/pexels-photo-320956.jpeg?auto=compress&cs=tinysrgb&h=350
hungry,och qolgan,,i am always hungry in every hour,https://ssl.gstatic.com/dictionary/static/sounds/oxford/hungry--_gb_1.mp3,https://images.pexels.com/photos/708587/pexels-photo-708587.jpeg?auto=compress&cs=tinysrgb&h=350
chair,stul,,There is a table and four chairs on each balcony.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/chair--_gb_1.mp3,https://images.pexels.com/photos/29917912/pexels-photo-29917912.jpeg?auto=compress&cs=tinysrgb&h=350
hang on,kutib tur,подожди,"Hang on a minute, I’ll just get her.",https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056431850-lauren.mp3,https://images.pexels.com/photos/6373691/pexels-photo-6373691.jpeg?auto=compress&cs=tinysrgb&h=350
spoken,gapirgan (speak),сказал,She spoke in a very quiet voice.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/spoken--_gb_1.mp3,https://images.pexels.com/photos/15470134/pexels-photo-15470134.jpeg?auto=compress&cs=tinysrgb&h=350
