word,uzbek,rus,example,audio_url,image_url
husband,er,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/husband--_gb_1.mp3,https://jennschultzauthor.com/wp-content/uploads/2016/09/heather-mount-8c3zjKrkkBA-unsplash-868x1302.jpg
ban,taqiqlamoq,запрещать,He banned smoking in public places.,,
written,yozilgan (write),написанный,I’ve never written a comment.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/written--_gb_1.mp3,https://images.pexels.com/photos/51191/stack-letters-letter-handwriting-family-letters-51191.jpeg?auto=compress&cs=tinysrgb&h=350
bath,vanna,�����,Has our room got a bath?,,
all,hammasi,���,All the flats have got lovely balconies.,,
dining room,oshxona xonasi,столовая,There’s a dining room next to the kitchen.,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056306861-lauren.mp3,https://images.pexels.com/photos/2029673/pexels-photo-2029673.jpeg?auto=compress&cs=tinysrgb&h=350
air conditioning,konditsioner,�����������,There is air conditioning in every room.,,
survival,tirik qolish,выживание,The survival camp is in the rainforest next to the river.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/survival--_gb_1.mp3,https://images.pexels.com/photos/207324/pexels-photo-207324.jpeg?auto=compress&cs=tinysrgb&h=350
launderette,kir yuvish joyi,прачечная,I go to the launderette to wash my clothes.,,
hot,issiq,жаркий,It's the hottest time of the year.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/hot--_gb_1.mp3,https://images.pexels.com/photos/712395/pexels-photo-712395.jpeg?auto=compress&cs=tinysrgb&h=350
painting lesson,rasm darsi,урок рисования,I’ve had lots of drawing and painting lessons.,,https://images.pexels.com/photos/8382309/pexels-photo-8382309.jpeg?auto=compress&cs=tinysrgb&h=350
plant,ekmoq,сажать,Plant a tree.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/plant--_gb_1.mp3,https://images.pexels.com/photos/1002703/pexels-photo-1002703.jpeg?auto=compress&cs=tinysrgb&h=350
habit,odat,привычка,Bloomberg tried to change their habits.,,
wonderful,ajoyib,чудесный,It has a wonderful menu.,,
airline,havo yo'li,,japanese airline is better than others,https://ssl.gstatic.com/dictionary/static/sounds/oxford/airline--_gb_1.mp3,https://images.pexels.com/photos/249581/pexels-photo-249581.jpeg?auto=compress&cs=tinysrgb&h=350
ugly,xunuk,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/ugly--_gb_1.mp3,https://media.istockphoto.com/id/1129432176/de/foto/sehr-h%C3%A4ssliche-frau-mit-fehlenden-z%C3%A4hnen-ungesund-essen-person.jpg?s=612x612&w=0&k=20&c=GkSWBqT3Lg2pEjraVvCr9nLyksSds0_EGVZO6_cQBSw=
climate,iqlim,климат,Siberia has a very cold climate.,,
celebrate,nishonlamoq,праздновать,People are telling us how they’re going to celebrate the day.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/celebrate--_gb_1.mp3,https://images.pexels.com/photos/1234390/pexels-photo-1234390.jpeg?auto=compress&cs=tinysrgb&h=350
horror film,qo‘rqinchli film,фильм ужасов,I don’t like horror films.,,https://images.pexels.com/photos/626163/pexels-photo-626163.jpeg?auto=compress&cs=tinysrgb&h=350
yoga,yoga,йога,I do yoga every Thursday morning.,,
outside,tashqari,,I always have lunch outside,https://ssl.gstatic.com/dictionary/static/sounds/oxford/outside--_gb_1.mp3,https://images.pexels.com/photos/2154216/pexels-photo-2154216.jpeg?auto=compress&cs=tinysrgb&h=350
launderette,kir yuvish joyi,прачечная,I go to the launderette to wash my clothes.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/launderette--_gb_1.mp3,https://images.pexels.com/photos/8774572/pexels-photo-8774572.jpeg?auto=compress&cs=tinysrgb&h=350
lake,ko‘l,озеро,It's the biggest and deepest lake.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/lake--_gb_1.mp3,https://images.pexels.com/photos/2091351/pexels-photo-2091351.jpeg?auto=compress&cs=tinysrgb&h=350
genetic,genetik,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/genetic--_gb_1.mp3,https://uoflhealth.org/wp-content/uploads/2024/06/Genetic_Testing_1180x560.jpg
sales,"chegirma, sotish",,,,https://images.pexels.com/photos/327540/pexels-photo-327540.jpeg?auto=compress&cs=tinysrgb&h=350
help,yordam bermoq,помогать,Help a neighbour with difficult jobs.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/help--_gb_1.mp3,https://images.pexels.com/photos/339620/pexels-photo-339620.jpeg?auto=compress&cs=tinysrgb&h=350
bed,karavot,�������,The other bedroom has got a European bed.,,
French,frantsuz,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/french--_gb_1.mp3,https://www.studying-in-france.org/wp-content/uploads/2018/04/learning-french-in-france.jpg
code,kod,���,I don�t know the code for the door.,,
single,yolgâiz,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/single--_gb_1.mp3,https://s23913.pcdn.co/wp-content/uploads/2012/01/single-men-things-to-do.jpg
