word,uzbek,rus,example,audio_url,image_url
opal,opal toshi,опал,"Near Coober Pedy, there are opals under the ground.",,
housemate,bir uyda yashovchi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/housemate--_gb_1.mp3,https://flatmate.com/blog/wp-content/uploads/2015/11/flatmate-feature.jpg
on,ustida,на,My bed is on a shelf.,,
train,poezd,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/train--_gb_1.mp3,https://www.timeforkids.com/wp-content/uploads/2020/02/feature-cover_-train-k1.jpg
gave,berdi,дал,I gave it to you yesterday.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/gave--_gb_1.mp3,https://images.pexels.com/photos/28648171/pexels-photo-28648171.jpeg?auto=compress&cs=tinysrgb&h=350
chop,toâgâramoq,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/chop--_gb_1.mp3,https://cdn.hangry.recipes/wp-content/uploads/2021/07/How-to-Chop-and-what-does-it-mean-to-chop-when-cooking.jpg
fit,sog‘lom,в хорошей форме,I cycle every day to keep fit.,,
close,yaqin,близкий,He's a close friend of mine.,,
behind,orqasida,позади,The East River is behind the building.,,
ask (for),so'ramoq,,do students often ask for a discount?,,https://images.pexels.com/photos/4421544/pexels-photo-4421544.jpeg?auto=compress&cs=tinysrgb&h=350
borrow,qarzga olmoq,одалживать,I borrowed one from my classmate.,,
honey,asal,мёд,I have honey and yoghurt for breakfast.,,
mine,meniki,моё,A lot of people work in the opal mines.,,
mother,ona,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/mother--_gb_1.mp3,https://media.istockphoto.com/id/1446885495/de/foto/gl%C3%BCcklich-k%C3%BCssen-und-umarmen-am-muttertag-im-wohnzimmer-sofa-liebe-und-entspannung-zusammen-in.jpg?s=612x612&w=0&k=20&c=9E04F0yhu8p2-fAB7P2i9kt4mGyZ1gzUACn_yScYCPQ=
answer,javob bermoq,,can you please answer to my question,https://ssl.gstatic.com/dictionary/static/sounds/oxford/answer--_gb_1.mp3,https://images.pexels.com/photos/2928254/pexels-photo-2928254.jpeg?auto=compress&cs=tinysrgb&h=350
secret,sir,секрет,What is the secret to good health?,,
fantastic,ajoyib,фантастический,The food is fantastic.,,
dining room,ovqat xonasi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/dining room--_gb_1.mp3,https://www.bhg.com/thmb/rvOm4fbrqM3Kv-tT2tqIn0VKljY=/3958x0/filters:no_upscale():strip_icc()/Midcentury-modern-dining-room-HGQ36597-E78HH53cq_eA6d2sgX1v8t-b8a6ea0f544f43d59feabcc6aba6a546.jpg
cheap,arzon,дешёвый,My flat’s in a cheap part of town.,,
half past,yarim o'tdi,,it's half past eight o'clock,,https://images.pexels.com/photos/7150002/pexels-photo-7150002.jpeg?auto=compress&cs=tinysrgb&h=350
lookout,kuzatuvchi,,I'm a 'fire lookout',https://ssl.gstatic.com/dictionary/static/sounds/oxford/lookout--_gb_1.mp3,https://images.pexels.com/photos/16010/pexels-photo.jpg?auto=compress&cs=tinysrgb&h=350
shorts,shortik,шорты,Mike is wearing shorts.,,
light,yorug',,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/light--_gb_1.mp3,https://images.theconversation.com/files/409433/original/file-20210702-28-qga4sb.jpeg?ixlib=rb-4.1.0&rect=378%2C1193%2C5077%2C2538&q=45&auto=format&w=1356&h=668&fit=crop
tropical,tropik,тропический,There are beautiful tropical islands.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/tropical--_gb_1.mp3,https://images.pexels.com/photos/788200/pexels-photo-788200.jpeg?auto=compress&cs=tinysrgb&h=350
want,xohlamoq,хотеть,We wanted it.,,
ingredient,ingredient,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/ingredient--_gb_1.mp3,https://admin.sriboga.com/storage/news/1685519127-chef-preparing-food-ingredients-2021-09-24-03-57-22-utc%20(1).webp
knife,pichoq,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/knife--_gb_1.mp3,https://cdn.shopify.com/s/files/1/0608/3313/6870/products/1030100126.png?v=1722880307
cube,kubik,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/cube--_gb_1.mp3,https://mastercubestore.de/8308-large_default/z-cube-luminous-3x3-transparent-green.jpg
organized,tartibli,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/organized--_gb_1.mp3,"https://img-cdn.inc.com/image/upload/f_webp,c_fit,w_1920,q_auto/images/panoramic/getty_464221971_56698.jpg"
dirty,iflos,,The bathroom is very dirty.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/dirty--_gb_1.mp3,https://images.pexels.com/photos/6777374/pexels-photo-6777374.jpeg?auto=compress&cs=tinysrgb&h=350
