word,uzbek,rus,example,audio_url,image_url
get up,uyg'onmoq,,I get up at about seven o'clock,,https://images.pexels.com/photos/5368950/pexels-photo-5368950.jpeg?auto=compress&cs=tinysrgb&h=350
rooftop,tom usti,крыша/крышный,There are wonderful views of the city from the rooftop restaurant.,,
colourful,rang-barang,,Everywhere is colourful and interesting.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/colourful--_gb_1.mp3,https://images.pexels.com/photos/1616403/pexels-photo-1616403.jpeg?auto=compress&cs=tinysrgb&h=350
washing machine,kir yuvish mashinasi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/washing machine--_gb_1.mp3,https://www.electroluxarabia.com/contentassets/a8462da74c384f7da463f95a3a2cfc20/how-to-clean-washing-machine-banner.jpg?width=464
armchair,kreslo,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/armchair--_gb_1.mp3,https://fwhomestores.co.uk/cdn/shop/files/FURN-ARMCH-688096_1.jpg
gym,sport zal,��������,"It has a lot of good facilities: tennis, mini-golf and a gym.",,
talk,gaplashmoq,говорить,They talked a lot about the football match.,,
prefer,afzal ko'rmoq,,I prefer comedies.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/prefer--_gb_1.mp3,https://images.pexels.com/photos/6942002/pexels-photo-6942002.jpeg?auto=compress&cs=tinysrgb&h=350
finish,tugatmoq,заканчивать,He finished work at 2 a.m.,,
thunder,momaqaldiroq,гром,There was a big storm with loud thunder.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/thunder--_gb_1.mp3,https://images.pexels.com/photos/1114688/pexels-photo-1114688.jpeg?auto=compress&cs=tinysrgb&h=350
tourist information centre,turist markazi,туристический центр,There’s a tourist information centre.,,
worth,arzizdigan,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/worth--_gb_1.mp3,https://images.pexels.com/photos/4033496/pexels-photo-4033496.jpeg?auto=compress&cs=tinysrgb&h=350
cheap,arzon,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/cheap--_gb_1.mp3,https://cdn.langeek.co/photo/28327/original/cheap?type=jpeg
chair,stul,����,There is a table and four chairs on each balcony.,,
dress,ko‘ylak,платье,She is wearing a blue dress.,,
expensive,qimmat,дорогой,My computer is expensive.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/expensive--_gb_1.mp3,https://images.pexels.com/photos/2849742/pexels-photo-2849742.jpeg?auto=compress&cs=tinysrgb&h=350
very,juda,очень,Bernardo Paz decided to use the space for something very different.,,
cleaner,tozalovchi,,they are cleaners,https://ssl.gstatic.com/dictionary/static/sounds/oxford/cleaner--_gb_1.mp3,https://images.pexels.com/photos/3768914/pexels-photo-3768914.jpeg?auto=compress&cs=tinysrgb&h=350
drank,ichdi,пил,I drank the water slowly.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/drank--_gb_1.mp3,https://images.pexels.com/photos/338713/pexels-photo-338713.jpeg?auto=compress&cs=tinysrgb&h=350
swimming pool,suzish havzasi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/swimming pool--_gb_1.mp3,https://images.photowall.com/products/42579/swimming-pool.jpg?h=699&q=85
dirty,iflos,�������,The bathroom is very dirty.,,
play,o‘ynam,,I played football when I was a child.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/play--_gb_1.mp3,https://images.pexels.com/photos/3933265/pexels-photo-3933265.jpeg?auto=compress&cs=tinysrgb&h=350
button,tugma,кнопка,I press a button and the mirror shows me.,,
studio,studiya,студия,Local parents are in the studio with me to discuss this.,,
subtitle,subtitr,субтитры,Do you watch films in English without the subtitles?,,
canteen,oshxona,,she has breakfast in the school canteen,https://ssl.gstatic.com/dictionary/static/sounds/oxford/canteen--_gb_1.mp3,https://images.pexels.com/photos/6446308/pexels-photo-6446308.jpeg?auto=compress&cs=tinysrgb&h=350
mayor,hokim,мэр,"In 2002, New York City chose a new mayor.",,
dirty,"kir, iflos",,it's dirty in the city,https://ssl.gstatic.com/dictionary/static/sounds/oxford/dirty--_gb_1.mp3,https://images.pexels.com/photos/1411392/pexels-photo-1411392.jpeg?auto=compress&cs=tinysrgb&h=350
terrible,dahshatli,ужасный,It’s a terrible restaurant.,,
receive,qabul qilmoq,получать,When was the last time you received an email?,,
