word,uzbek,rus,example,audio_url,image_url
fantastic,fantastik,фантастический,The food is fantastic.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/fantastic--_gb_1.mp3,https://images.pexels.com/photos/26967664/pexels-photo-26967664.jpeg?auto=compress&cs=tinysrgb&h=350
starter,aperitiv/birinchi taom,закуска,Would you like a starter?,,
fork,vilka,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/fork--_gb_1.mp3,https://m.media-amazon.com/images/I/61z0LVrrowL.jpg
platform,platforma,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/platform--_gb_1.mp3,https://www.collinsdictionary.com/images/full/platform_96994673_1000.jpg
instrument,asbob,инструмент,I’ve always wanted to play a musical instrument.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/instrument--_gb_1.mp3,https://images.pexels.com/photos/1246437/pexels-photo-1246437.jpeg?auto=compress&cs=tinysrgb&h=350
storm,bo‘ron,буря/шторм,There was a big storm.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/storm--_gb_1.mp3,https://images.pexels.com/photos/1162251/pexels-photo-1162251.jpeg?auto=compress&cs=tinysrgb&h=350
copy,ko‘chirmoq,копировать,She copied him.,,
sandwich,sendvich,,We buy sandwiches at lunchtime,https://ssl.gstatic.com/dictionary/static/sounds/oxford/sandwich--_gb_1.mp3,https://images.pexels.com/photos/5692286/pexels-photo-5692286.jpeg?auto=compress&cs=tinysrgb&h=350
brilliant,"zo'r, ajoyib","1;5ABOI89, 35=80;L=K9",He was a brilliant scientist.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/brilliant--_gb_1.mp3,https://images.pexels.com/photos/34792947/pexels-photo-34792947.jpeg?auto=compress&cs=tinysrgb&h=350
label,yorliq,ярлык/лейбл,She has her own fashion label.,,
get around,harakatlanmoq,передвигаться,How do you usually get around town?,,
T-shirt,futbolka,футболка,Mike is wearing shorts and a T-shirt.,,
Spanish,ispan,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/spanish--_gb_1.mp3,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/Flag_of_Spain.svg/800px-Flag_of_Spain.svg.png
country,mamlakat,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/country--_gb_1.mp3,https://img.jagranjosh.com/images/2023/February/622023/total-countries-in-the-world.webp
old,eski,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/old--_gb_1.mp3,https://upload.wikimedia.org/wikipedia/commons/4/41/Old_Things_%28189922277%29.jpeg
armchair,kreslo,кресло,There’s an armchair in the living room.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/armchair--_gb_1.mp3,https://images.pexels.com/photos/923192/pexels-photo-923192.jpeg?auto=compress&cs=tinysrgb&h=350
bathroom,vanna xonasi,ванная,There’s a small bathroom in my flat.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/bathroom--_gb_1.mp3,https://images.pexels.com/photos/1910472/pexels-photo-1910472.jpeg?auto=compress&cs=tinysrgb&h=350
woke up,uyg‘ondi,проснулся,I woke up feeling hungry.,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056333770-lauren.mp3,https://images.pexels.com/photos/6800945/pexels-photo-6800945.jpeg?auto=compress&cs=tinysrgb&h=350
next to,yonida,рядом,It’s next to a restaurant.,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056195204-lauren.mp3,https://images.pexels.com/photos/8202804/pexels-photo-8202804.jpeg?auto=compress&cs=tinysrgb&h=350
organized,tartibli,организованный,I keep everything tidy and organized.,,
above,ustida,над,My bed is above the kitchen.,,
desert,cho‘l,пустыня,It’s a cold desert because it’s so far north.,,
passenger,yo‘lovchi,пассажир,25 million passengers travel on trains every day in India.,,
grandmother,buvi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/grandmother--_gb_1.mp3,https://images.ctfassets.net/cnu0m8re1exe/7nC3OKdTLf9lKf3Ns59yyu/16dab73c84146ed085581008dd4ef07b/shutterstock_1177754176.jpg?fm=jpg&fl=progressive&w=660&h=433&fit=fill
code,kod,���,I don�t know the code for the door.,,
ice skater,figurachi,фигурист,She was a very good ice skater when she was younger.,,
boss,boshliq,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/boss--_gb_1.mp3,"https://platform.vox.com/wp-content/uploads/sites/2/chorus/uploads/chorus_asset/file/8232671/bossbabycover.jpg?quality=90&strip=all&crop=11.206896551724,0,77.586206896552,100"
underground,yer osti,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/underground--_gb_1.mp3,https://media.ticmate.com/resources/ticmate_live/upload/Underground_London_Small_Group_Walking_Tour-2.jpg
compass,kompas,компас,I think a map and compass are useful.,,
view,manzara,вид,There’s a nice view of the castle.,,
