word,uzbek,rus,example,audio_url,image_url
sunrise,quyosh chiqishi,,I climbed to the top of a temple at sunrise.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/sunrise--_gb_1.mp3,https://images.pexels.com/photos/733168/pexels-photo-733168.jpeg?auto=compress&cs=tinysrgb&h=350
pear,nok,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/pear--_gb_1.mp3,https://rootstofruitsnursery.com/cdn/shop/files/IMG_2063_1200x1200_crop_center.jpg?v=1698952333
breakfast ,nonushta,,I usually have bread and eggs for breakfast ,https://ssl.gstatic.com/dictionary/static/sounds/oxford/breakfast--_gb_1.mp3,https://images.pexels.com/photos/376464/pexels-photo-376464.jpeg?auto=compress&cs=tinysrgb&h=350
view,manzara,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/view--_gb_1.mp3,https://images.photowall.com/products/72354/window-bay-view.jpg?h=699&q=85
listen,tinglamoq,,he never listens to the words I say,https://ssl.gstatic.com/dictionary/static/sounds/oxford/listen--_gb_1.mp3,https://images.pexels.com/photos/3779448/pexels-photo-3779448.jpeg?auto=compress&cs=tinysrgb&h=350
album,albom,альбом,She’s had a few successful albums.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/album--_gb_1.mp3,https://images.pexels.com/photos/1616470/pexels-photo-1616470.jpeg?auto=compress&cs=tinysrgb&h=350
shop,do‘kon,магазин,Why are you talking to a shoplifter?,,
flat,kvartira,квартира,I live in a flat.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/flat--_gb_1.mp3,https://images.pexels.com/photos/53782/pexels-photo-53782.jpeg?auto=compress&cs=tinysrgb&h=350
wedding,to‘y,свадьба,She is at a wedding.,,
grown,o‘sgan (grow),выросший,The children have grown so much!,https://ssl.gstatic.com/dictionary/static/sounds/oxford/grown--_gb_1.mp3,https://images.pexels.com/photos/446462/pexels-photo-446462.jpeg?auto=compress&cs=tinysrgb&h=350
table,stol,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/table--_gb_1.mp3,https://wk-prod-assets.s3.eu-central-1.amazonaws.com/WK_Seito_0017_890737cdd5.jpg
lift,lift qilmoq,поднимать,"He always took the stairs, not the lift.",,
gadget,qurilma,гаджет,The programme was about apps and gadgets.,,
uniform,forma,,She hates the uniform at school,https://ssl.gstatic.com/dictionary/static/sounds/oxford/uniform--_gb_1.mp3,https://images.pexels.com/photos/163347/war-desert-guns-gunshow-163347.jpeg?auto=compress&cs=tinysrgb&h=350
yoghurt,yogurt,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/yoghurt--_gb_1.mp3,https://www.luvele.co.uk/cdn/shop/articles/20240213211554-almond_yogurt_04_1024x1024_49b08b62-fd84-4d28-9159-ec438be9c742_1024x.webp?v=1707859091
fry,qovurmoq,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/fry--_gb_1.mp3,https://www.tasteofhome.com/wp-content/uploads/2019/09/cooking-french-fries-close-frying-fryer-shutterstock_464044346.jpg
look,qaramoq,смотреть,"When he looked between the seats, he noticed a bag.",,
carpet,gilam,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/carpet--_gb_1.mp3,https://tara-carpet.com/media/image/product/50920/lg/taracarpet-zen-modern-fuers-wohnzimmer-schlafzimmer-und-outdoorteppich-hoch-tief-struktur~4.jpg
fail,"yiqilmoq, muvaffaqiyatsiz bo‘lmoq",провалить,I failed my driving test!,https://ssl.gstatic.com/dictionary/static/sounds/oxford/fail--_gb_1.mp3,https://images.pexels.com/photos/7703687/pexels-photo-7703687.jpeg?auto=compress&cs=tinysrgb&h=350
wedding,to'y,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/wedding--_gb_1.mp3,https://images.pexels.com/photos/313707/pexels-photo-313707.jpeg?auto=compress&cs=tinysrgb&h=350
dining room,ovqatlanish xonasi,��������,"The flat has a small bathroom, a kitchen and a dining room.",,
lie,yotmoq,лежать,Do you like lying on the beach?,,
library,kutubxona,библиотека,"Excuse me, where’s the library?",,
really,rostdan,действительно,It is really important for the local area.,,
bed,karavot,�������,The other bedroom has got a European bed.,,
hospital,kasalxona,больница,She works in a hospital.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/hospital--_gb_1.mp3,https://images.pexels.com/photos/236380/pexels-photo-236380.jpeg?auto=compress&cs=tinysrgb&h=350
hoodie,xudi,худи,She is wearing a hoodie.,,
use,foydalanmoq,использовать,"In the end, I used my ordinary shoes.",,
old,eski,старый,I live in an old town.,,
member,a'zo,член,We are looking for new members.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/member--_gb_1.mp3,https://images.pexels.com/photos/6270276/pexels-photo-6270276.jpeg?auto=compress&cs=tinysrgb&h=350
