word,uzbek,rus,example,audio_url,image_url
air-conditioned,konditsionerli,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/air-conditioned--_gb_1.mp3,https://hips.hearstapps.com/hmg-prod/images/close-up-of-hand-holding-remote-control-against-air-royalty-free-image-1629411055.jpg
beach,sohil,,"in the summer, i usually get up early and go to the beach",https://ssl.gstatic.com/dictionary/static/sounds/oxford/beach--_gb_1.mp3,https://images.pexels.com/photos/1032650/pexels-photo-1032650.jpeg?auto=compress&cs=tinysrgb&h=350
drink,ichimlik,�������,Are there any drinks in the fridge?,,
fruit,meva,фрукты,We both had fruit and yoghurt.,,
town,shahar,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/town--_gb_1.mp3,https://upload.wikimedia.org/wikipedia/commons/5/5b/St_Mary%27s_Church%2C_Castle_Street_1.jpg
mine,kon,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/mine--_gb_1.mp3,https://www.technik-einkauf.de/assets/images/f/mine-tagebau-electra-kay-smith-adobestock-289617371-7b31c757.jpg
feel well,yaxshi his qilmoq,,she didn't feel well last week,,https://images.pexels.com/photos/15528342/pexels-photo-15528342.jpeg?auto=compress&cs=tinysrgb&h=350
hospital,kasalxona,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/hospital--_gb_1.mp3,https://www.marien-hospital-erftstadt.de/images/galerie/mh-galerie_011.jpg
rainforest,yomg'ir o'rmoni,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/rainforest--_gb_1.mp3,http://onetreeplanted.org/cdn/shop/articles/amazon_rainforest_mist_600x.png?v=1680706265
fridge,muzlatkich,холодильник,The fridge is next to the sink.,,
leather,charm,кожа,I like wearing leather gloves.,,
hard worker,mehnatkash,трудяга,He's a really hard worker.,,https://images.pexels.com/photos/2219024/pexels-photo-2219024.jpeg?auto=compress&cs=tinysrgb&h=350
clean,toza,чистый,I like to keep them very clean.,,
agree,,rozi bo'lmoq,i usually agree with my friends,https://ssl.gstatic.com/dictionary/static/sounds/oxford/agree--_gb_1.mp3,https://images.pexels.com/photos/3184423/pexels-photo-3184423.jpeg?auto=compress&cs=tinysrgb&h=350
circus,sirk,цирк,Have you ever been to a circus?,https://ssl.gstatic.com/dictionary/static/sounds/oxford/circus--_gb_1.mp3,https://images.pexels.com/photos/137032/pexels-photo-137032.jpeg?auto=compress&cs=tinysrgb&h=350
Greek,yunon,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/greek--_gb_1.mp3,"https://res.cloudinary.com/aenetworks/image/upload/c_fill,ar_2,w_3840,h_1920,g_auto/dpr_auto/f_auto/q_auto:eco/v1/Greek-mythology-gettyImages-1220052224?_a=BAVAZGDX0"
ride,haydamoq/minmoq,ездить,Ride a bicycle.,,
crucial,juda muhim,критически важный,She is a crucial member of the team.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/crucial--_gb_1.mp3,https://images.pexels.com/photos/3923176/pexels-photo-3923176.jpeg?auto=compress&cs=tinysrgb&h=350
message,xabar,сообщение,I’ve written a message.,,
bowl,idish (chuqur),миска,Put all the ingredients into a bowl.,,
group,guruh,группа,I like going on holiday with a group of friends.,,
campsite,lager joyi,кемпинг,There are hotels and a campsite.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/campsite--_gb_1.mp3,https://images.pexels.com/photos/2662816/pexels-photo-2662816.jpeg?auto=compress&cs=tinysrgb&h=350
changing room,kiyim almashtirish xonasi,примерочная,The changing rooms are on the right.,,
bike,velosiped,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/bike--_gb_1.mp3,https://cdn.shopify.com/s/files/1/1772/1703/files/cross-moss_749bed30-4208-491b-8e13-18b269f0fb55.png?v=1721720745
rice,guruch,рис,We have some rice.,,
come,kelmoq,,Why don’t you come to my house for dinner tomorro,https://ssl.gstatic.com/dictionary/static/sounds/oxford/come--_gb_1.mp3,https://images.pexels.com/photos/4843912/pexels-photo-4843912.jpeg?auto=compress&cs=tinysrgb&h=350
star,yulduz,звезда,It stars Kate Winslet and Leonardo DiCaprio.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/star--_gb_1.mp3,https://images.pexels.com/photos/998641/pexels-photo-998641.jpeg?auto=compress&cs=tinysrgb&h=350
children,bolalar,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/children--_gb_1.mp3,https://paisleypark.com.au/wp-content/uploads/2024/01/Belonging-Through-Community-for-Children.jpg
passenger,yo'lovchi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/passenger--_gb_1.mp3,https://cdn.langeek.co/photo/36904/original/passenger?type=jpeg
table,stol,стол,There’s a table next to the armchair.,,
