word,uzbek,rus,example,audio_url,image_url
last name,familiya,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/last name--_gb_1.mp3,https://i.ytimg.com/vi/sY14NFFzSoE/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCHvNoK8RKXAvosTe6J58wdJanQRg
have dinner,kechki ovqat yemoq,,I have dinner at about seven o'clock,,https://images.pexels.com/photos/9750903/pexels-photo-9750903.jpeg?auto=compress&cs=tinysrgb&h=350
dietician,diyetolog,диетолог,The dietician tells them what to eat and drink.,,https://images.pexels.com/photos/8844378/pexels-photo-8844378.jpeg?auto=compress&cs=tinysrgb&h=350
well,"yaxshi, quduq",,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/well--_gb_1.mp3,https://images.pexels.com/photos/1661306/pexels-photo-1661306.jpeg?auto=compress&cs=tinysrgb&h=350
acrobat,akrobat,акробат,The acrobats were doing some amazing things.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/acrobat--_gb_1.mp3,https://images.pexels.com/photos/1701195/pexels-photo-1701195.jpeg?auto=compress&cs=tinysrgb&h=350
hairdresser,sartaroshxona,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/hairdresserâs--_gb_1.mp3,https://egohairdesign.com/wp-content/uploads/2023/06/hairdresser-jobs-inverness.jpg
behind,orqasida,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/behind--_gb_1.mp3,https://www.flashcardsforkindergarten.com/wp-content/uploads/2021/09/behind-dog-flashcard-725x1024.jpg
teach,o'rgatmoq,учить,Teach someone a language.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/teach--_gb_1.mp3,https://images.pexels.com/photos/220326/pexels-photo-220326.jpeg?auto=compress&cs=tinysrgb&h=350
sweet,shirin,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/sweet--_gb_1.mp3,https://cdn-prod.medicalnewstoday.com/content/images/articles/317/317257/cupcakes.jpg
eat,yemoq,есть,Eat lots of fruit and vegetables.,,
fix,tuzatmoq,,My son fixes a lot of different machines,https://ssl.gstatic.com/dictionary/static/sounds/oxford/fix--_gb_1.mp3,https://images.pexels.com/photos/1108101/pexels-photo-1108101.jpeg?auto=compress&cs=tinysrgb&h=350
designer shoes,brend oyoq kiyim,,,,https://images.pexels.com/photos/8004287/pexels-photo-8004287.jpeg?auto=compress&cs=tinysrgb&h=350
noodles,lag'mon,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/noodles--_gb_1.mp3,"https://cdn.apartmenttherapy.info/image/upload/f_jpg,q_auto:eco,c_fill,g_auto,w_1500,ar_4:3/k%2FPhoto%2FRecipes%2F2024-04-lemon-jalapeno-noodles%2Flemon-jalapeno-noodles-147"
checkout,chiqish vaqti,����� ������,Checkout is before 11 a.m.,,
expensive,qimmat,дорогой,My computer is new and expensive.,,
behind,orqasida,позади,The East River is behind the building.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/behind--_gb_1.mp3,https://images.pexels.com/photos/34856050/pexels-photo-34856050.jpeg?auto=compress&cs=tinysrgb&h=350
each,har bir,������,Has each flat got a kitchen?,,
airport,aeroport,аэропорт,The roads to Coober Pedy are good and there’s an airport.,,
work long hours,ko'p vaqt ishlash,,Do you work long hours?,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056105260-lauren.mp3,https://images.pexels.com/photos/17245493/pexels-photo-17245493.jpeg?auto=compress&cs=tinysrgb&h=350
post office,pochta bo'limi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/post office--_gb_1.mp3,https://media.istockphoto.com/id/167408149/de/vektor/post-office.jpg?s=612x612&w=0&k=20&c=SrhGCAkx8Kcx7DtfCK8DIGfCfN1TFLuHVpDLDlvYfmw=
clear,aniq,ясный,The water is very clear.,,
tourist,sayyoh,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/tourist--_gb_1.mp3,https://cloudfront-us-east-2.images.arcpublishing.com/reuters/WR7VJHSXLBJENA5WP4BT2QP3JY.jpg
palace,saroy,дворец,It’s next to the palace.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/palace--_gb_1.mp3,https://images.pexels.com/photos/1542620/pexels-photo-1542620.jpeg?auto=compress&cs=tinysrgb&h=350
sad,xafa,грустный,She’s very sad.,,
bank,bank,банк,Where’s the bank?,https://ssl.gstatic.com/dictionary/static/sounds/oxford/bank--_gb_1.mp3,https://images.pexels.com/photos/1398431/pexels-photo-1398431.jpeg?auto=compress&cs=tinysrgb&h=350
island,orol,остров,There are beautiful tropical islands.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/island--_gb_1.mp3,https://images.pexels.com/photos/994605/pexels-photo-994605.jpeg?auto=compress&cs=tinysrgb&h=350
gallery,galereya,галерея,He has his own art gallery in London.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/gallery--_gb_1.mp3,https://images.pexels.com/photos/1579708/pexels-photo-1579708.jpeg?auto=compress&cs=tinysrgb&h=350
washing machine,kir yuvish mashinasi,стиральная машина,There’s a washing machine in my flat.,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056185049-lauren.mp3,https://images.pexels.com/photos/2254065/pexels-photo-2254065.jpeg?auto=compress&cs=tinysrgb&h=350
air conditioning,konditsioner,�����������,There is air conditioning in every room.,,
kettle,choynak,чайник,You boil water in a kettle.,,
