word,uzbek,rus,example,audio_url,image_url
shelf,raf,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/shelf--_gb_1.mp3,https://i.etsystatic.com/19738945/r/il/25331a/4320685919/il_fullxfull.4320685919_s008.jpg
waterfall,sharshara,водопад,It’s a very big waterfall on the Zambezi River.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/waterfall--_gb_1.mp3,https://images.pexels.com/photos/1875480/pexels-photo-1875480.jpeg?auto=compress&cs=tinysrgb&h=350
bakery,nonvoyxona,�������,There�s an amazing bakery in my street.,,
street life,ko'cha hayoti,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/street life--_gb_1.mp3,https://lust-auf-leverkusen.de/wp-content/uploads/2023/05/20230804_215806.jpg
in front of,oldida,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/in front of--_gb_1.mp3,https://englishunite.com/wp-content/uploads/2023/09/school-prep-in-front-of-eu.jpg
tourist,sayyoh,турист,There aren’t any tourists there.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/tourist--_gb_1.mp3,https://images.pexels.com/photos/1008155/pexels-photo-1008155.jpeg?auto=compress&cs=tinysrgb&h=350
countryside,qishloq joylari,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/countryside--_gb_1.mp3,https://research.reading.ac.uk/changing-landscapes/wp-content/uploads/sites/162/2020/10/Lottie-blog.jpg
introduce,tanishtirmoq,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/introduce--_gb_1.mp3,https://www.betterup.com/hubfs/man-shaking-hands-of-manager-at-job-interview-how-to-introduce-yourself-in-an-interview-1.jpg
app,ilova,приложение,I watched a programme about apps.,,
quarter to ,15 takam,,It's quarter to eleven,,https://images.pexels.com/photos/7656032/pexels-photo-7656032.jpeg?auto=compress&cs=tinysrgb&h=350
cheap,arzon,дешёвый,My flat’s in a cheap part of town.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/cheap--_gb_1.mp3,https://images.pexels.com/photos/6068960/pexels-photo-6068960.jpeg?auto=compress&cs=tinysrgb&h=350
takeaway food,olib ketiladigan ovqat,еда навынос,"When we buy takeaway food, we don’t think about what we’re eating.",,
return,qaytarmoq,возвращать,"When I buy something I don’t like, I return it to the shop.",,
toilet,hojatxona,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/toilet--_gb_1.mp3,https://www.clearhalo.com/cdn/shop/products/7369608.jpg?v=1682861645
cash,naqd pul,наличные,I pay for things with cash.,,
do,qilmoq,делать,Do an hour of exercise each day.,,
toilet,hojatxona,туалет,There’s a toilet next to the bedroom.,,
scarf,shal,шарф,Take a hat or scarf to wear on your head.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/scarf--_gb_1.mp3,https://images.pexels.com/photos/287223/pexels-photo-287223.jpeg?auto=compress&cs=tinysrgb&h=350
instructions,ko�rsatmalar,����������,They can�t understand the instructions.,,
garage,garaj,гараж,There’s a garage opposite my flat.,,
well,yaxshi,хорошо,She writes well.,,
guest house,mehmonxona (kichik),гостевой дом,We usually stay in a guest house.,,
honey,asal,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/honey--_gb_1.mp3,https://cdn.shopify.com/s/files/1/0065/5602/4921/files/How_can_you_tell_the_difference_between_good_and_bad_honey.png?v=1686482111
cinema,kino,кинотеатр,There’s a cinema near the hotel.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/cinema--_gb_1.mp3,https://images.pexels.com/photos/65128/pexels-photo-65128.jpeg?auto=compress&cs=tinysrgb&h=350
cash,naqd pul,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/cash--_gb_1.mp3,https://images.pexels.com/photos/47344/dollar-currency-money-us-dollar-47344.jpeg?auto=compress&cs=tinysrgb&h=350
weather,ob-havo,,The forecast is for mild weather tomorrow.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/weather--_gb_1.mp3,https://images.pexels.com/photos/209831/pexels-photo-209831.jpeg?auto=compress&cs=tinysrgb&h=350
food processor,ovqat maydalagich,кухонный комбайн,Put everything in the food processor.,,
administrator,boshqaruv,,Just tell the administrator before you leave,https://ssl.gstatic.com/dictionary/static/sounds/oxford/administrator--_gb_1.mp3,https://images.pexels.com/photos/4427610/pexels-photo-4427610.jpeg?auto=compress&cs=tinysrgb&h=350
olive,zaytun,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/olive--_gb_1.mp3,https://img.freepik.com/vektoren-kostenlos/realistische-olivenzweige-set_1284-26530.jpg?semt=ais_hybrid&w=740
value,qiymat,ценность,It’s great value.,,
