word,uzbek,rus,example,audio_url,image_url
microwave,mikroto'lqinli pech,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/microwave--_gb_1.mp3,https://www.ikea.com/de/en/images/products/tillreda-microwave-oven-white__1076734_pe856842_s5.jpg
Lebanese,livanlik,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/lebanese--_gb_1.mp3,https://phoenician.org/wp-content/uploads/2020/10/lebanese_americans.jpg
Arabic,Arabcha,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/arabic--_gb_1.mp3,https://miro.medium.com/v2/resize:fit:730/1*QWp8EdSNQ6sgDCZ67OiSTg.jpeg
designer shoes,dizayner oyoq kiyimi,дизайнерская обувь,She is wearing designer shoes.,,
bathroom,hammom,������ �������,Each bathroom has a shower and a toilet.,,
lucky,omadli,,He's a very lucky person,https://ssl.gstatic.com/dictionary/static/sounds/oxford/lucky--_gb_1.mp3,https://images.pexels.com/photos/2256259/pexels-photo-2256259.jpeg?auto=compress&cs=tinysrgb&h=350
tie,galstuk,галстук,I am wearing a tie.,,
messy,iflos,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/messy--_gb_1.mp3,https://junkbrothers.be/wp-content/uploads/2024/05/IMG_6431-scaled-2-e1715528780737.jpeg
hat,shlyapa,шляпа,She’s wearing a hat.,,
homeless,uysiz,бездомный,Make sandwiches for homeless people.,,https://images.pexels.com/photos/220365/pexels-photo-220365.jpeg?auto=compress&cs=tinysrgb&h=350
dinner,kechki ovqat,ужин,Who do you usually have dinner with?,,
cinema,kino,кинотеатр,There’s a cinema near the hotel.,,
dangerous ,havfli,,male seals are big and sometimes dangerous,https://ssl.gstatic.com/dictionary/static/sounds/oxford/dangerous--_gb_1.mp3,https://images.pexels.com/photos/572861/pexels-photo-572861.jpeg?auto=compress&cs=tinysrgb&h=350
launderette,kir yuvish joyi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/launderette--_gb_1.mp3,https://spotlessworld.co.uk/wp-content/uploads/2017/07/800px-Launderette_in_Paris._France-800x480.jpg
gloves,qo'lqop,,,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056454207-lauren.mp3,https://images.pexels.com/photos/45057/pexels-photo-45057.jpeg?auto=compress&cs=tinysrgb&h=350
fluent,ravon,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/fluent--_gb_1.mp3,https://images.theconversation.com/files/218288/original/file-20180509-5968-t9ruk.jpg?ixlib=rb-4.1.0&q=20&auto=format&w=320&fit=clip&dpr=2&usm=12&cs=strip
icy,muzli,,The roads are very icy.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/icy--_gb_1.mp3,https://images.pexels.com/photos/319489/pexels-photo-319489.jpeg?auto=compress&cs=tinysrgb&h=350
bedroom,yotoqxona,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/bedroom--_gb_1.mp3,https://www.bhg.com/thmb/hG7_GX5I0I-8i-ZgvCOCosObvE8=/1244x0/filters:no_upscale():strip_icc()/bedroom-wooden-accent-wall-9KdgK5zqKcz9ukcu6xy1Hx-c1217ee14b1b43e0ae82ec2046743af5.jpg
employee,xodim,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/employee--_gb_1.mp3,https://decisionwise.com/wp-content/uploads/2021/04/AdobeStock_243103938-scaled.jpeg
award,mukofotlamoq,награждать,The writers believe it is wrong to award the prize to one person.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/award--_gb_1.mp3,https://images.pexels.com/photos/2098578/pexels-photo-2098578.jpeg?auto=compress&cs=tinysrgb&h=350
give,bermoq,������,Please give me the code.,,
constantly,doimiy ravishda,постоянно,My phone at work rings constantly.,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1773105352075-lauren.mp3,https://images.pexels.com/photos/34794685/pexels-photo-34794685.jpeg?auto=compress&cs=tinysrgb&h=350
ate,yedi (eat),ел,I ate everything that was on my plate.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/ate--_gb_1.mp3,https://images.pexels.com/photos/9632879/pexels-photo-9632879.jpeg?auto=compress&cs=tinysrgb&h=350
sandy,qumli,песчаный,There are lots of beautiful sandy beaches on the coast.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/sandy--_gb_1.mp3,https://images.pexels.com/photos/34796197/pexels-photo-34796197.jpeg?auto=compress&cs=tinysrgb&h=350
online,onlayn,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/online--_gb_1.mp3,https://images.pexels.com/photos/363766/pexels-photo-363766.jpeg?auto=compress&cs=tinysrgb&h=350
car,mashina,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/car--_gb_1.mp3,"https://imageio.forbes.com/specials-images/imageserve/5d35eacaf1176b0008974b54/0x0.jpg?format=jpg&crop=4560,2565,x790,y784,safe&height=900&width=1600&fit=bounds"
suddenly,birdaniga,внезапно,She suddenly stopped.,,
castle,qal’a,замок,Can you see the castle from here?,,
guest,mehmon,�����,Is there free Wi-Fi for guests?,,
shopping centre,savdo markazi,торговый центр,I buy things from a shopping centre.,,
