word,uzbek,rus,example,audio_url,image_url
football,futbol,футбол,They’re playing football in the park.,,
ran,yugurdi (run),бежал,She ran a marathon.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/ran--_gb_1.mp3,https://images.pexels.com/photos/8078406/pexels-photo-8078406.jpeg?auto=compress&cs=tinysrgb&h=350
single,bir tomonlama,в одну сторону,"Just a single, please.",,
skirt,yubka,юбка,She is wearing a skirt.,,
athletics,yengil atletika,лёгкая атлетика,Usain Bolt did athletics all the time.,,
journey,sayohat,,how was your journey?,https://ssl.gstatic.com/dictionary/static/sounds/oxford/journey--_gb_1.mp3,https://images.pexels.com/photos/1546901/pexels-photo-1546901.jpeg?auto=compress&cs=tinysrgb&h=350
hero,qahramon,герой,They want to be like their heroes.,,
ruins,xarobalar,развалины,My favourite thing was the ruins of a Maya city.,,
illness,kasallik,болезнь,Tai Lihua couldn’t hear from the age of two after an illness.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/illness--_gb_1.mp3,https://images.pexels.com/photos/3807629/pexels-photo-3807629.jpeg?auto=compress&cs=tinysrgb&h=350
terrible,dahshatli,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/terrible--_gb_1.mp3,https://img.freepik.com/free-photo/photo-terrible-woman-afraid-something_114579-70652.jpg
worker,ishchi,работник,Martha’s a hard worker. She works very long hours.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/worker--_gb_1.mp3,https://images.pexels.com/photos/4240571/pexels-photo-4240571.jpeg?auto=compress&cs=tinysrgb&h=350
good at,yaxshi,хорошо получается,She’s very good at languages.,,
bathroom,vannaxona,ванная комната,There’s a small bathroom in my flat.,,
next to,yonida,рядом с,It’s next to a restaurant.,,
action film,jangari film,боевик,I don’t like action films because they’re really boring.,,https://images.pexels.com/photos/1117132/pexels-photo-1117132.jpeg?auto=compress&cs=tinysrgb&h=350
chop,to‘g‘ramoq,рубить/резать,Can you chop the onions with this knife?,,
airport,aeroport,аэропорт,The roads to Coober Pedy are good and there’s an airport.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/airport--_gb_1.mp3,https://images.pexels.com/photos/1815385/pexels-photo-1815385.jpeg?auto=compress&cs=tinysrgb&h=350
drama,drama,драма,My favourite film is Titanic. It’s a drama.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/drama--_gb_1.mp3,https://images.pexels.com/photos/275200/pexels-photo-275200.jpeg?auto=compress&cs=tinysrgb&h=350
improve,yaxshilamoq,улучшать,Mandela worked all his life to change and improve South Africa.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/improve--_gb_1.mp3,https://images.pexels.com/photos/3760613/pexels-photo-3760613.jpeg?auto=compress&cs=tinysrgb&h=350
sweetcorn,shirin makkajo‘xori,сладкая кукуруза,Can I have some sweetcorn?,,
travel,sayohat qilish,путешествовать,You need a passport to travel there.,,
tourist information centre,turist ma’lumot markazi,туристический центр,There’s a tourist information centre.,https://f50ba41c-af49-4f28-a1bc-022f03019da2.srvstatic.uz/speaking-tts-audio/tts-1770056203882-lauren.mp3,https://images.pexels.com/photos/6235433/pexels-photo-6235433.jpeg?auto=compress&cs=tinysrgb&h=350
environment,atrof-muhit,окружающая среда,Cyclors are good for the environment.,,
like,yoqtirmoq,нравиться,Ancient Egyptians liked wearing money on their fingers as rings.,,
score,natija,счёт/балл,He got a low score in the test.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/score--_gb_1.mp3,https://images.pexels.com/photos/899318/pexels-photo-899318.jpeg?auto=compress&cs=tinysrgb&h=350
theatre,teatr,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/theatre--_gb_1.mp3,https://assets-cdn.vam.ac.uk/2020/01/28/16/50/29/212ac9a5-60c2-436b-a2f5-5f2840947bce/640.jpg
charity,xayriya,благотворительность,Give the money to charity.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/charity--_gb_1.mp3,https://images.pexels.com/photos/3959485/pexels-photo-3959485.jpeg?auto=compress&cs=tinysrgb&h=350
boring,zerikarli,скучный,I don’t like shopping; it’s boring.,,
dishwasher,idish yuvish mashinasi,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/dishwasher--_gb_1.mp3,https://www.ikea.com/de/en/images/products/rengoera-integrated-dishwasher-ikea-300__1337754_pe948085_s5.jpg?f=s
read,o'qimoq,,In my free time like to listem to music or read books,https://ssl.gstatic.com/dictionary/static/sounds/oxford/read--_gb_1.mp3,https://images.pexels.com/photos/5530681/pexels-photo-5530681.jpeg?auto=compress&cs=tinysrgb&h=350
