word,uzbek,rus,example,audio_url,image_url
tidy,tartibli,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/tidy--_gb_1.mp3,https://completewellbeing.com/wp-content/uploads/2016/09/zen-and-the-art-of-house-cleaning-1.jpg
icy,muzli,ледяной,The roads are very icy.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/icy--_gb_1.mp3,https://images.pexels.com/photos/319489/pexels-photo-319489.jpeg?auto=compress&cs=tinysrgb&h=350
sleep,uxlamoq,спать,Sleep seven to eight hours a night.,,
sunrise,quyosh chiqishi,восход солнца,I climbed to the top of a temple at sunrise.,,
hungry,och qolgan,,i am always hungry in every hour,https://ssl.gstatic.com/dictionary/static/sounds/oxford/hungry--_gb_1.mp3,https://images.pexels.com/photos/708587/pexels-photo-708587.jpeg?auto=compress&cs=tinysrgb&h=350
big,katta,большой,I need a big desk to work on.,,
bedroom,yotoqxona,спальня,"In my house, there are three bedrooms.",,
jeans,jinsi shim,джинсы,Lala is wearing jeans.,,
bed,yotoq,,,https://media.merriam-webster.com/audio/prons/en/us/mp3/b/bed00001.mp3,"https://m.media-amazon.com/images/I/81QZa4gzVdL._UF894,1000_QL80_.jpg"
colourful,rang-barang,яркий,Everywhere is colourful and interesting.,,
tiny,juda kichik,крошечный,My car is really tiny!,https://ssl.gstatic.com/dictionary/static/sounds/oxford/tiny--_gb_1.mp3,https://images.pexels.com/photos/1420769/pexels-photo-1420769.jpeg?auto=compress&cs=tinysrgb&h=350
play,o‘ynamoq,играть,I played football when I was a child.,,
prefer,afzal ko'rmoq,предпочитать,I prefer comedies.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/prefer--_gb_1.mp3,https://images.pexels.com/photos/6942002/pexels-photo-6942002.jpeg?auto=compress&cs=tinysrgb&h=350
weather,ob-havo,погода,The forecast is for mild weather tomorrow.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/weather--_gb_1.mp3,https://images.pexels.com/photos/209831/pexels-photo-209831.jpeg?auto=compress&cs=tinysrgb&h=350
chair,stul,����,There is a table and four chairs on each balcony.,,
get,olmoq,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/get--_gb_1.mp3,https://images.pexels.com/photos/3991987/pexels-photo-3991987.jpeg
dirty,iflos,�������,The bathroom is very dirty.,,
wife,xotin,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/wife--_gb_1.mp3,https://i.swncdn.com/media/960w/via/images/2023/08/03/31939/31939-gettyimages-1439771873_source_file.jpg
dishwasher,idish yuvish mashinasi,посудомоечная машина,The dishwasher is under the sink.,,
warm,iliq,тёплый,It’s going to be warm this afternoon.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/warm--_gb_1.mp3,https://images.pexels.com/photos/59598/pexels-photo-59598.jpeg?auto=compress&cs=tinysrgb&h=350
come,kelmoq,приходить,Why don’t you come to my house for dinner tomorrow?,,
brilliant,"zo'r, ajoyib","блестящий, гениальный",He was a brilliant scientist.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/brilliant--_gb_1.mp3,https://images.pexels.com/photos/34792947/pexels-photo-34792947.jpeg?auto=compress&cs=tinysrgb&h=350
takeaway food,buyurtma ovqat,,Home deliveries and takeaway food businesses will continue.,https://audio12.forvo.com/mp3/9945671/39/9945671_39_6777258.mp3,https://droppe.com/blog-admin/wp-content/uploads/2025/01/takeaway-food-packaging-for-home-delivery.webp
alone,,yolg'iz,he often works alone,https://ssl.gstatic.com/dictionary/static/sounds/oxford/alone--_gb_1.mp3,https://images.pexels.com/photos/2865901/pexels-photo-2865901.jpeg?auto=compress&cs=tinysrgb&h=350
noisy,shovqin,,City life is sometimes noisy,https://ssl.gstatic.com/dictionary/static/sounds/oxford/noisy--_gb_1.mp3,https://images.pexels.com/photos/2747448/pexels-photo-2747448.jpeg?auto=compress&cs=tinysrgb&h=350
microwave,mikroto'lqinli pech,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/microwave--_gb_1.mp3,https://www.ikea.com/de/en/images/products/tillreda-microwave-oven-white__1076734_pe856842_s5.jpg
romantic film,romantik film,романтический фильм,I prefer romantic films.,,https://images.pexels.com/photos/4395196/pexels-photo-4395196.jpeg?auto=compress&cs=tinysrgb&h=350
bread,non,хлеб,Not many people bake their own bread these days.,,
seal,tyulen,,Sven studies seals,https://ssl.gstatic.com/dictionary/static/sounds/oxford/seal--_gb_1.mp3,https://images.pexels.com/photos/4751278/pexels-photo-4751278.jpeg?auto=compress&cs=tinysrgb&h=350
caf?,kafe,����,There�s a caf? near the hotel.,,
