word,uzbek,rus,example,audio_url,image_url
Emirati,amirlik,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/emirati--_gb_1.mp3,https://media.istockphoto.com/id/492788530/photo/young-arab-man-portrait-with-plenty-of-copy-space.jpg?s=612x612&w=0&k=20&c=vsLJPjD4HYzRk8a-SQW3ykrBpudzB44PazHCcy-eV9o=
shelf,javon,полка,My bed is on a shelf above the kitchen.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/shelf--_gb_1.mp3,https://images.pexels.com/photos/2062427/pexels-photo-2062427.jpeg?auto=compress&cs=tinysrgb&h=350
lovely,yoqimli,чудесный,The weather was lovely on our holiday.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/lovely--_gb_1.mp3,https://images.pexels.com/photos/1271696/pexels-photo-1271696.jpeg?auto=compress&cs=tinysrgb&h=350
between,o'rtasida,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/between--_gb_1.mp3,https://cdn.vectorstock.com/i/500p/73/18/preposition-of-place-with-cartoon-girl-and-a-box-vector-41937318.jpg
communicate,aloqa qilmoq,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/communicate--_gb_1.mp3,https://149747948.v2.pressablecdn.com/wp-content/uploads/GPS_Blog-communication_effective.jpg
Italian,italyan,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/italian--_gb_1.mp3,https://i.pinimg.com/474x/33/a9/3b/33a93b05661598ff978aea8632240e95.jpg
traffic,tirbandlik,дорожное движение,Is there usually heavy traffic on the way?,https://ssl.gstatic.com/dictionary/static/sounds/oxford/traffic--_gb_1.mp3,https://images.pexels.com/photos/210182/pexels-photo-210182.jpeg?auto=compress&cs=tinysrgb&h=350
eaten,yegan,съеденный,I’ve eaten too much!,,https://images.pexels.com/photos/6837729/pexels-photo-6837729.jpeg?auto=compress&cs=tinysrgb&h=350
pasta,makaron,паста,We can have pasta any day.,,
began,boshladi,начал,He began learning the piano two years later.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/began--_gb_1.mp3,https://images.pexels.com/photos/8895358/pexels-photo-8895358.jpeg?auto=compress&cs=tinysrgb&h=350
win,yutmoq,побеждать,She always wins when she plays tennis.,,
garage,garaj,гараж,There’s a garage opposite my flat.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/garage--_gb_1.mp3,https://images.pexels.com/photos/845599/pexels-photo-845599.jpeg?auto=compress&cs=tinysrgb&h=350
light,yorug‘,светлый,"There are lots of windows, so it’s very light.",,
instructions,ko�rsatmalar,����������,They can�t understand the instructions.,,
chemist,dorixona,аптека,Is there a chemist near here?,,
countryside,shahar tashqarisi,сельская местность,Do you like staying in the countryside?,,
research,tadqiqot,исследование,New research shows that video gamers don’t live in the real world.,,
clearly,aniq,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/clearly--_gb_1.mp3,https://images.pexels.com/photos/34572558/pexels-photo-34572558.jpeg?auto=compress&cs=tinysrgb&h=350
successful,muvaffaqiyatli,успешный,"Today, she is very successful.",,
huge,ulkan,огромный,There is often a huge team of many people working hard.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/huge--_gb_1.mp3,https://images.pexels.com/photos/1054655/pexels-photo-1054655.jpeg?auto=compress&cs=tinysrgb&h=350
seat belt,xavfsizlik kamari,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/seat belt--_gb_1.mp3,https://i0.wp.com/www.drivercarequicktips.com/wp-content/uploads/2017/07/GettyImages-507306826.jpg?fit=2119%2C1415&ssl=1
organized,tartibli,организованный,I keep everything tidy and organized.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/organized--_gb_1.mp3,https://images.pexels.com/photos/572056/pexels-photo-572056.jpeg?auto=compress&cs=tinysrgb&h=350
scared,qo'rqqan,испуганный,My sister is always really scared when she sees a spider.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/scared--_gb_1.mp3,https://images.pexels.com/photos/1156546/pexels-photo-1156546.jpeg?auto=compress&cs=tinysrgb&h=350
light,yorug‘,светлый,"There are lots of windows, so it’s very light.",https://ssl.gstatic.com/dictionary/static/sounds/oxford/light--_gb_1.mp3,https://images.pexels.com/photos/921294/pexels-photo-921294.png?auto=compress&cs=tinysrgb&h=350
businessman,biznesmen,,My uncle is a businessman,https://ssl.gstatic.com/dictionary/static/sounds/oxford/businessman--_gb_1.mp3,https://images.pexels.com/photos/1321943/pexels-photo-1321943.jpeg?auto=compress&cs=tinysrgb&h=350
boring,zerikarli,,,https://ssl.gstatic.com/dictionary/static/sounds/oxford/boring--_gb_1.mp3,https://images.pexels.com/photos/3808012/pexels-photo-3808012.jpeg?auto=compress&cs=tinysrgb&h=350
again,yana,,can you please tell your name again,https://ssl.gstatic.com/dictionary/static/sounds/oxford/again--_gb_1.mp3,https://images.pexels.com/photos/31818765/pexels-photo-31818765.jpeg?auto=compress&cs=tinysrgb&h=350
shelf,tokcha,полка,My bed is on a shelf above the kitchen.,,
cloudy,bulutli,облачный,It's going to be cloudy this afternoon.,,
furniture,mebel,мебель,My furniture is mostly old.,https://ssl.gstatic.com/dictionary/static/sounds/oxford/furniture--_gb_1.mp3,https://images.pexels.com/photos/276583/pexels-photo-276583.jpeg?auto=compress&cs=tinysrgb&h=350
